Orthogroup	MHP_154B_genes	MHP_168_genes
OG0000000	NB624_RS02330	MHP168_RS02175
OG0000001	NB624_RS01275, NB624_RS01270	MHP168_RS01365
OG0000001	NB624_RS02960	MHP168_RS02805
OG0000001	NB624_RS02915	MHP168_RS02760
OG0000002	NB624_RS02340	MHP168_RS03985
OG0000002	NB624_RS01730	MHP168_RS01665, MHP168_RS01685
OG0000003	NB624_RS01755	MHP168_RS01845
OG0000003	NB624_RS01750, NB624_RS00505	MHP168_RS00480
OG0000003	NB624_RS01835	MHP168_RS03875
OG0000004	NB624_RS03355	MHP168_RS03180
OG0000005	NB624_RS00100	MHP168_RS00085
OG0000005	NB624_RS00105	MHP168_RS00100, MHP168_RS03905
OG0000006	NB624_RS02650	MHP168_RS02505
OG0000006	NB624_RS02645	MHP168_RS02355
OG0000008	NB624_RS02450	MHP168_RS02310
OG0000008	NB624_RS01625, NB624_RS01635	MHP168_RS01780
OG0000008	NB624_RS02665	MHP168_RS04005
OG0000009	NB624_RS01015	MHP168_RS00985
OG0000009	NB624_RS01000	MHP168_RS00975
OG0000010	NB624_RS01855	MHP168_RS01930, MHP168_RS01645, MHP168_RS00080
OG0000011	NB624_RS01955	MHP168_RS04085
OG0000011	NB624_RS01950	MHP168_RS02015
OG0000012	NB624_RS02895, NB624_RS01075	MHP168_RS01400, MHP168_RS02105, MHP168_RS03590
OG0000013	NB624_RS02540	MHP168_RS02405
OG0000013	NB624_RS00185	MHP168_RS03910
OG0000014	NB624_RS01090	MHP168_RS01070
OG0000014	NB624_RS01080	MHP168_RS01055
OG0000015	NB624_RS02070	MHP168_RS03520
OG0000015	NB624_RS01565	MHP168_RS03815
OG0000016	NB624_RS03000	MHP168_RS02850
OG0000016	NB624_RS00170	MHP168_RS00145
OG0000017	NB624_RS00155	MHP168_RS00130
OG0000017	NB624_RS03010	MHP168_RS02860
OG0000018	NB624_RS02095	MHP168_RS04035
OG0000020	NB624_RS03690	MHP168_RS03580
OG0000020	NB624_RS03695	MHP168_RS03585
OG0000021	NB624_RS01760	MHP168_RS00485
OG0000022	NB624_RS01660	MHP168_RS01760
OG0000022	NB624_RS01715	MHP168_RS01710
OG0000023	NB624_RS01310	MHP168_RS01405, MHP168_RS03930, MHP168_RS03535
OG0000024	NB624_RS02910	MHP168_RS02750
OG0000024	NB624_RS01265	MHP168_RS03940, MHP168_RS03945
OG0000025	NB624_RS01665	MHP168_RS01755
OG0000025	NB624_RS01710	MHP168_RS01715
OG0000026	NB624_RS01355	MHP168_RS01450
OG0000026	NB624_RS01690	MHP168_RS01735
OG0000027	NB624_RS03505	MHP168_RS03845
OG0000030	NB624_RS03495	MHP168_RS03310
OG0000031	NB624_RS02150	MHP168_RS03565
OG0000031	NB624_RS01595	MHP168_RS01815
OG0000035	NB624_RS03370	MHP168_RS03185
OG0000036	NB624_RS00120, NB624_RS00125	MHP168_RS00105
OG0000037	NB624_RS01575	MHP168_RS01830
OG0000039	NB624_RS01605	MHP168_RS01800
OG0000040	NB624_RS03440	MHP168_RS03260
OG0000041	NB624_RS01010	MHP168_RS00980
