Orthogroup	MHP_154B_genes	MHP_MHP682_genes
OG0000000	NB624_RS02330	DR097_RS02690
OG0000000	NB624_RS02325	DR097_RS04740
OG0000000	NB624_RS02455	DR097_RS03725
OG0000001	NB624_RS02960	DR097_RS04145
OG0000002	NB624_RS02340	DR097_RS02700
OG0000002	NB624_RS02245	DR097_RS04855
OG0000002	NB624_RS01730	DR097_RS04675
OG0000003	NB624_RS01750, NB624_RS00505	DR097_RS04955
OG0000003	NB624_RS02310	DR097_RS04850
OG0000003	NB624_RS01835	DR097_RS03830
OG0000004	NB624_RS03355	DR097_RS01330
OG0000005	NB624_RS00100	DR097_RS02455
OG0000005	NB624_RS00105	DR097_RS02440
OG0000006	NB624_RS02650	DR097_RS04435
OG0000007	NB624_RS02315	DR097_RS03480
OG0000007	NB624_RS02305	DR097_RS03440
OG0000008	NB624_RS02665	DR097_RS03625
OG0000009	NB624_RS00085	DR097_RS02470
OG0000009	NB624_RS01000	DR097_RS01140
OG0000010	NB624_RS01855	DR097_RS02510, DR097_RS04755, DR097_RS04280, DR097_RS02420, DR097_RS02450
OG0000011	NB624_RS01955	DR097_RS00820
OG0000011	NB624_RS01950	DR097_RS00825
OG0000012	NB624_RS01870	DR097_RS03825
OG0000013	NB624_RS02540	DR097_RS02175
OG0000013	NB624_RS00185	DR097_RS03895
OG0000014	NB624_RS00595	DR097_RS03860
OG0000014	NB624_RS01080	DR097_RS03370
OG0000015	NB624_RS01565	DR097_RS02000
OG0000016	NB624_RS03000	DR097_RS01165
OG0000016	NB624_RS00170	DR097_RS00270
OG0000017	NB624_RS00155	DR097_RS00285
OG0000017	NB624_RS03010	DR097_RS01175
OG0000019	NB624_RS03190, NB624_RS03180, NB624_RS03200	DR097_RS03615
OG0000020	NB624_RS03690	DR097_RS04835
OG0000020	NB624_RS03695	DR097_RS04830
OG0000021	NB624_RS01760, NB624_RS01765	DR097_RS03390
OG0000022	NB624_RS01660	DR097_RS01895
OG0000022	NB624_RS01715	DR097_RS04680
OG0000023	NB624_RS01310	DR097_RS01710, DR097_RS02020
OG0000024	NB624_RS02910	DR097_RS01795
OG0000024	NB624_RS01265	DR097_RS00345
OG0000025	NB624_RS01665	DR097_RS04685
OG0000025	NB624_RS01710	DR097_RS01845
OG0000026	NB624_RS01355	DR097_RS01665
OG0000026	NB624_RS01690	DR097_RS01865
OG0000027	NB624_RS03505	DR097_RS02965
OG0000028	NB624_RS02565	DR097_RS02880, DR097_RS01995
OG0000030	NB624_RS03495	DR097_RS04775
OG0000031	NB624_RS02150	DR097_RS02075
OG0000031	NB624_RS01595	DR097_RS03120
OG0000032	NB624_RS01570	DR097_RS04795
OG0000033	NB624_RS02545	DR097_RS02885
OG0000034	NB624_RS02260	DR097_RS04475
OG0000036	NB624_RS00120	DR097_RS02435
OG0000036	NB624_RS00125	DR097_RS02415
OG0000037	NB624_RS01585	DR097_RS04800
OG0000037	NB624_RS01575	DR097_RS03100
OG0000039	NB624_RS01605	DR097_RS04950
OG0000040	NB624_RS03440	DR097_RS03560
OG0000041	NB624_RS01010	DR097_RS03645
OG0000042	NB624_RS03095	DR097_RS01265
OG0000043	NB624_RS01920	DR097_RS00855
OG0000044	NB624_RS01675	DR097_RS04900
OG0000045	NB624_RS01610	DR097_RS03525
OG0000046	NB624_RS03445, NB624_RS03450	DR097_RS04785
OG0000047	NB624_RS02085	DR097_RS02010
OG0000048	NB624_RS02205	DR097_RS02830
OG0000049	NB624_RS03210	DR097_RS01470
OG0000050	NB624_RS02595	DR097_RS01960
OG0000051	NB624_RS02825	DR097_RS01545
OG0000052	NB624_RS00075	DR097_RS02480
OG0000053	NB624_RS01440	DR097_RS04845
OG0000054	NB624_RS02620	DR097_RS01935
OG0000055	NB624_RS00130	DR097_RS00305
OG0000056	NB624_RS03675	DR097_RS00545
OG0000057	NB624_RS03080	DR097_RS01250
OG0000058	NB624_RS02160	DR097_RS02085
