Orthogroup	MHP_154B_genes	MHP_ES2_genes
OG0000000	NB624_RS02330	E5E95_RS02310
OG0000000	NB624_RS02240	E5E95_RS02235
OG0000000	NB624_RS02230	E5E95_RS02240
OG0000000	NB624_RS02225, NB624_RS02235	E5E95_RS04040
OG0000000	NB624_RS02325	E5E95_RS04075
OG0000000	NB624_RS01720, NB624_RS01725	E5E95_RS01830
OG0000001	NB624_RS01275, NB624_RS01270	E5E95_RS01300
OG0000001	NB624_RS02960	E5E95_RS03000
OG0000001	NB624_RS02915	E5E95_RS04150
OG0000002	NB624_RS02340	E5E95_RS02320
OG0000002	NB624_RS02245	E5E95_RS02250
OG0000002	NB624_RS01730	E5E95_RS01840
OG0000003	NB624_RS01750, NB624_RS00505	E5E95_RS01915
OG0000003	NB624_RS02310	E5E95_RS00930
OG0000003	NB624_RS01835	E5E95_RS03910
OG0000004	NB624_RS03355	E5E95_RS03410
OG0000004	NB624_RS03360	E5E95_RS03415
OG0000004	NB624_RS03175	E5E95_RS03215
OG0000005	NB624_RS00100	E5E95_RS00090
OG0000005	NB624_RS00105	E5E95_RS00100
OG0000006	NB624_RS02650	E5E95_RS02705
OG0000006	NB624_RS02645	E5E95_RS04120, E5E95_RS04115
OG0000007	NB624_RS02315	E5E95_RS00935
OG0000007	NB624_RS02305	E5E95_RS02295
OG0000008	NB624_RS02450	E5E95_RS03925, E5E95_RS04080
OG0000008	NB624_RS01625, NB624_RS01635	E5E95_RS03905
OG0000008	NB624_RS02665	E5E95_RS03930, E5E95_RS04135
OG0000009	NB624_RS01015	E5E95_RS00665
OG0000009	NB624_RS01000	E5E95_RS00680
OG0000010	NB624_RS01855	E5E95_RS01970, E5E95_RS03990, E5E95_RS01575
OG0000011	NB624_RS01955	E5E95_RS02070
OG0000011	NB624_RS01950	E5E95_RS02060
OG0000012	NB624_RS02895, NB624_RS01075	E5E95_RS02435, E5E95_RS03230
OG0000013	NB624_RS02540	E5E95_RS02610
OG0000013	NB624_RS00185	E5E95_RS03955
OG0000014	NB624_RS00595	E5E95_RS00595
OG0000014	NB624_RS01090	E5E95_RS01105
OG0000014	NB624_RS01080	E5E95_RS00605
OG0000015	NB624_RS01620	E5E95_RS01745
OG0000015	NB624_RS01565	E5E95_RS02450
OG0000016	NB624_RS03000	E5E95_RS03040
OG0000016	NB624_RS00170	E5E95_RS00160
OG0000017	NB624_RS00155	E5E95_RS00145
OG0000017	NB624_RS03010	E5E95_RS03050
OG0000019	NB624_RS03180	E5E95_RS04175
OG0000019	NB624_RS03200	E5E95_RS04180
OG0000020	NB624_RS03690	E5E95_RS03770
OG0000021	NB624_RS01760	E5E95_RS03845
OG0000021	NB624_RS01765	E5E95_RS00510
OG0000022	NB624_RS01660	E5E95_RS01770
OG0000022	NB624_RS01715	E5E95_RS01825
OG0000023	NB624_RS01310	E5E95_RS01335, E5E95_RS01720, E5E95_RS04100, E5E95_RS04110, E5E95_RS04105
OG0000024	NB624_RS02910	E5E95_RS02945
OG0000024	NB624_RS01265	E5E95_RS01290
OG0000025	NB624_RS01665	E5E95_RS01775
OG0000025	NB624_RS01710	E5E95_RS01820
OG0000026	NB624_RS01355	E5E95_RS01380
OG0000026	NB624_RS01690	E5E95_RS01800
OG0000027	NB624_RS03505	E5E95_RS03560
OG0000028	NB624_RS02565	E5E95_RS02620
OG0000030	NB624_RS03495	E5E95_RS03550
OG0000031	NB624_RS01595	E5E95_RS01625
OG0000032	NB624_RS01570	E5E95_RS03995
OG0000034	NB624_RS02260	E5E95_RS04050
OG0000035	NB624_RS03370	E5E95_RS03405
OG0000036	NB624_RS00120	E5E95_RS00105
OG0000036	NB624_RS00125	E5E95_RS00120
OG0000037	NB624_RS01585	E5E95_RS04000
OG0000038	NB624_RS01745	E5E95_RS01910
OG0000039	NB624_RS01605	E5E95_RS01650, E5E95_RS01645
OG0000040	NB624_RS03440	E5E95_RS03495
OG0000041	NB624_RS01010	E5E95_RS00670
OG0000042	NB624_RS03095	E5E95_RS03140
OG0000043	NB624_RS01920	E5E95_RS02030
OG0000044	NB624_RS01675	E5E95_RS04290
OG0000045	NB624_RS01610	E5E95_RS01655
OG0000046	NB624_RS03445, NB624_RS03450	E5E95_RS03505
OG0000047	NB624_RS02085	E5E95_RS01725
OG0000048	NB624_RS02205	E5E95_RS02215
OG0000049	NB624_RS03210	E5E95_RS03260
OG0000050	NB624_RS02595	E5E95_RS02655
OG0000051	NB624_RS02825	E5E95_RS02855
OG0000052	NB624_RS00075	E5E95_RS00075
OG0000053	NB624_RS01440	E5E95_RS01465
OG0000054	NB624_RS02620	E5E95_RS02680
OG0000055	NB624_RS00130	E5E95_RS00125
OG0000056	NB624_RS03675	E5E95_RS03750
OG0000057	NB624_RS03080	E5E95_RS03125
OG0000058	NB624_RS02160	E5E95_RS01660, E5E95_RS02525, E5E95_RS02530
OG0000059	NB624_RS02130	E5E95_RS02510
OG0000060	NB624_RS00080	E5E95_RS00080
OG0000061	NB624_RS01865	E5E95_RS01980
OG0000062	NB624_RS03725	E5E95_RS03805
OG0000063	NB624_RS03720	E5E95_RS03800
OG0000064	NB624_RS03710	E5E95_RS03790
OG0000065	NB624_RS02385	E5E95_RS02365
OG0000066	NB624_RS01345	E5E95_RS01370
OG0000067	NB624_RS00520	E5E95_RS00525
OG0000068	NB624_RS01035	E5E95_RS00645
OG0000069	NB624_RS02975	E5E95_RS03015
OG0000070	NB624_RS02625	E5E95_RS02685
OG0000071	NB624_RS03430	E5E95_RS03485
OG0000072	NB624_RS03435	E5E95_RS03490
OG0000073	NB624_RS00975	E5E95_RS00705
OG0000074	NB624_RS00775	E5E95_RS00900
OG0000075	NB624_RS00340	E5E95_RS00340
OG0000077	NB624_RS00440	E5E95_RS00445
OG0000079	NB624_RS02715	E5E95_RS02760
OG0000080	NB624_RS02770	E5E95_RS03935
OG0000081	NB624_RS00335	E5E95_RS00335
OG0000083	NB624_RS02025	E5E95_RS02140
OG0000084	NB624_RS02055	E5E95_RS02165
OG0000085	NB624_RS02060	E5E95_RS02170
OG0000086	NB624_RS02170	E5E95_RS02180
OG0000087	NB624_RS02185	E5E95_RS02195
OG0000088	NB624_RS02190	E5E95_RS02200
OG0000089	NB624_RS02200	E5E95_RS02210
OG0000090	NB624_RS00070	E5E95_RS00070
OG0000091	NB624_RS00055	E5E95_RS00055
OG0000092	NB624_RS00045	E5E95_RS00040
OG0000093	NB624_RS00035	E5E95_RS00035
OG0000094	NB624_RS00030	E5E95_RS00030
OG0000095	NB624_RS00005	E5E95_RS00005
OG0000096	NB624_RS03760	E5E95_RS03840
OG0000097	NB624_RS03740	E5E95_RS03820
OG0000098	NB624_RS03730	E5E95_RS03810
OG0000099	NB624_RS03680	E5E95_RS03760
OG0000100	NB624_RS03670	E5E95_RS03740
OG0000101	NB624_RS03660	E5E95_RS03735
