Orthogroup	MHP_154B_genes	MHP_UFV02_genes
OG0000000	NB624_RS02330	FEF31_RS01935
OG0000000	NB624_RS02230	FEF31_RS01875
OG0000000	NB624_RS02325	FEF31_RS04515
OG0000000	NB624_RS01720	FEF31_RS01380
OG0000000	NB624_RS01725	FEF31_RS01385
OG0000001	NB624_RS01275, NB624_RS01270	FEF31_RS00940
OG0000001	NB624_RS02960	FEF31_RS02540
OG0000001	NB624_RS02915	FEF31_RS02490
OG0000002	NB624_RS02340	FEF31_RS01945
OG0000002	NB624_RS02245	FEF31_RS04505
OG0000002	NB624_RS01730	FEF31_RS04455
OG0000003	NB624_RS01750, NB624_RS00505	FEF31_RS04365
OG0000003	NB624_RS01835	FEF31_RS01590
OG0000004	NB624_RS03355	FEF31_RS03760
OG0000005	NB624_RS00100	FEF31_RS03370
OG0000005	NB624_RS00105	FEF31_RS03380
OG0000006	NB624_RS02645	FEF31_RS02090
OG0000006	NB624_RS02465	FEF31_RS02060
OG0000007	NB624_RS02305	FEF31_RS01915
OG0000008	NB624_RS02450	FEF31_RS02050
OG0000008	NB624_RS01625, NB624_RS01635	FEF31_RS01300
OG0000008	NB624_RS02665	FEF31_RS02250
OG0000009	NB624_RS01015	FEF31_RS00325
OG0000009	NB624_RS01000	FEF31_RS00335
OG0000010	NB624_RS01855	FEF31_RS01600, FEF31_RS01225, FEF31_RS04440
OG0000011	NB624_RS01955	FEF31_RS01695
OG0000011	NB624_RS01950	FEF31_RS01690
OG0000012	NB624_RS02895, NB624_RS01075	FEF31_RS02235
OG0000013	NB624_RS02540	FEF31_RS02135
OG0000013	NB624_RS00185	FEF31_RS03455
OG0000014	NB624_RS00595	FEF31_RS00255
OG0000014	NB624_RS01090	FEF31_RS00745
OG0000014	NB624_RS01080	FEF31_RS04375
OG0000015	NB624_RS01620	FEF31_RS01295
OG0000016	NB624_RS03000	FEF31_RS02580
OG0000016	NB624_RS00170	FEF31_RS03440
OG0000017	NB624_RS00155	FEF31_RS03425
OG0000017	NB624_RS03010	FEF31_RS02590
OG0000020	NB624_RS03690	FEF31_RS03220
OG0000020	NB624_RS03695	FEF31_RS04270
OG0000022	NB624_RS01660	FEF31_RS01320
OG0000022	NB624_RS01715	FEF31_RS04450
OG0000023	NB624_RS01310	FEF31_RS00975, FEF31_RS01405
OG0000024	NB624_RS02910	FEF31_RS02485
OG0000024	NB624_RS01265	FEF31_RS00930
OG0000025	NB624_RS01665	FEF31_RS04445
OG0000025	NB624_RS01710	FEF31_RS01370
OG0000026	NB624_RS01355	FEF31_RS01025
OG0000026	NB624_RS01690	FEF31_RS01350
OG0000027	NB624_RS03505	FEF31_RS03015
OG0000030	NB624_RS03495	FEF31_RS04590
OG0000035	NB624_RS03370	FEF31_RS03765
OG0000036	NB624_RS00120	FEF31_RS03385
OG0000036	NB624_RS00125	FEF31_RS03400
OG0000038	NB624_RS00495	FEF31_RS00160
OG0000039	NB624_RS01605	FEF31_RS01275
OG0000040	NB624_RS03440	FEF31_RS03890
OG0000041	NB624_RS01010	FEF31_RS00330
OG0000042	NB624_RS03095	FEF31_RS02675
OG0000043	NB624_RS01920	FEF31_RS01660, FEF31_RS01455
OG0000044	NB624_RS01675	FEF31_RS04775
OG0000044	NB624_RS01795	FEF31_RS01545
OG0000045	NB624_RS01610	FEF31_RS01280, FEF31_RS01285
OG0000046	NB624_RS03445, NB624_RS03450	FEF31_RS02960, FEF31_RS02245
OG0000048	NB624_RS02205	FEF31_RS01845
OG0000049	NB624_RS03210	FEF31_RS03620
OG0000050	NB624_RS02595	FEF31_RS02180
OG0000051	NB624_RS02825	FEF31_RS02395
OG0000052	NB624_RS00075	FEF31_RS03360
OG0000053	NB624_RS01440	FEF31_RS04425
OG0000054	NB624_RS02620	FEF31_RS02205
OG0000055	NB624_RS00130	FEF31_RS03405
OG0000056	NB624_RS03675	FEF31_RS03205
OG0000057	NB624_RS03080	FEF31_RS02660
OG0000058	NB624_RS02160	FEF31_RS01470
OG0000059	NB624_RS02130	FEF31_RS01460
OG0000061	NB624_RS01865	FEF31_RS01245
OG0000062	NB624_RS03725	FEF31_RS03250
OG0000063	NB624_RS03720	FEF31_RS04645
OG0000064	NB624_RS03710	FEF31_RS03235
OG0000065	NB624_RS02385	FEF31_RS01990
OG0000066	NB624_RS01345	FEF31_RS01015
OG0000067	NB624_RS00520	FEF31_RS00185
OG0000068	NB624_RS01035	FEF31_RS00305
OG0000069	NB624_RS02975	FEF31_RS02555
OG0000070	NB624_RS02625	FEF31_RS02210
OG0000071	NB624_RS03430	FEF31_RS03835
OG0000072	NB624_RS03435	FEF31_RS04700
OG0000073	NB624_RS00975	FEF31_RS00360
OG0000074	NB624_RS00775	FEF31_RS04395
OG0000075	NB624_RS00340	FEF31_RS00005
OG0000077	NB624_RS00440	FEF31_RS00105
OG0000078	NB624_RS01680	FEF31_RS01340
OG0000079	NB624_RS02715	FEF31_RS02300
OG0000080	NB624_RS02770	FEF31_RS02345
OG0000081	NB624_RS00335	FEF31_RS03610
OG0000083	NB624_RS02025	FEF31_RS01765
OG0000084	NB624_RS02055	FEF31_RS01795
OG0000085	NB624_RS02060	FEF31_RS01800
OG0000086	NB624_RS02170	FEF31_RS01810
OG0000087	NB624_RS02185	FEF31_RS01825
OG0000088	NB624_RS02190	FEF31_RS01830
OG0000089	NB624_RS02200	FEF31_RS01840
OG0000090	NB624_RS00070	FEF31_RS03355
OG0000091	NB624_RS00055	FEF31_RS03340
OG0000092	NB624_RS00045	FEF31_RS03325
OG0000093	NB624_RS00035	FEF31_RS03320
OG0000094	NB624_RS00030	FEF31_RS03315
OG0000095	NB624_RS00005	FEF31_RS03290
OG0000096	NB624_RS03760	FEF31_RS03285
OG0000097	NB624_RS03740	FEF31_RS03265
OG0000098	NB624_RS03730	FEF31_RS03255
OG0000099	NB624_RS03680	FEF31_RS04640
OG0000100	NB624_RS03670	FEF31_RS03195
OG0000101	NB624_RS03660	FEF31_RS03190
OG0000102	NB624_RS01705	FEF31_RS01365
OG0000103	NB624_RS02350	FEF31_RS01955
OG0000104	NB624_RS02355	FEF31_RS01960
OG0000105	NB624_RS02370	FEF31_RS01975
OG0000106	NB624_RS02380	FEF31_RS01985
OG0000107	NB624_RS02390	FEF31_RS01995
OG0000108	NB624_RS02395	FEF31_RS02000
OG0000109	NB624_RS02400	FEF31_RS02005
OG0000110	NB624_RS02525	FEF31_RS02120
OG0000111	NB624_RS02520	FEF31_RS02115
OG0000112	NB624_RS02510	FEF31_RS02105
OG0000113	NB624_RS02490	FEF31_RS02085
OG0000114	NB624_RS02485	FEF31_RS02075
OG0000115	NB624_RS02470	FEF31_RS02065
OG0000116	NB624_RS01290	FEF31_RS00955
OG0000117	NB624_RS01295	FEF31_RS00960
OG0000118	NB624_RS01330	FEF31_RS00995
OG0000119	NB624_RS01335	FEF31_RS01000
OG0000120	NB624_RS01350	FEF31_RS01020
OG0000121	NB624_RS01375	FEF31_RS01045
OG0000122	NB624_RS01380	FEF31_RS01050
OG0000123	NB624_RS01400	FEF31_RS01070
OG0000124	NB624_RS01405	FEF31_RS01075
OG0000125	NB624_RS01410	FEF31_RS01080
OG0000126	NB624_RS01420	FEF31_RS01090
OG0000127	NB624_RS01430	FEF31_RS01100
OG0000128	NB624_RS01445	FEF31_RS01115
OG0000129	NB624_RS01450	FEF31_RS01120
OG0000130	NB624_RS01460	FEF31_RS01130
OG0000131	NB624_RS01490	FEF31_RS01160
OG0000132	NB624_RS01505	FEF31_RS04430
OG0000133	NB624_RS00525	FEF31_RS00190
OG0000134	NB624_RS00530	FEF31_RS00195
OG0000135	NB624_RS00545	FEF31_RS00210
OG0000136	NB624_RS00550	FEF31_RS00215
OG0000137	NB624_RS00580	FEF31_RS00245
OG0000138	NB624_RS01060	FEF31_RS00280
OG0000139	NB624_RS01030	FEF31_RS00310
OG0000140	NB624_RS01025	FEF31_RS00315
OG0000141	NB624_RS03090	FEF31_RS02670
OG0000142	NB624_RS03085	FEF31_RS04555
OG0000143	NB624_RS03070	FEF31_RS02645
OG0000144	NB624_RS03055	FEF31_RS02635
OG0000145	NB624_RS03045	FEF31_RS02625
OG0000146	NB624_RS03035	FEF31_RS02615
OG0000147	NB624_RS03030	FEF31_RS02610
OG0000148	NB624_RS03015	FEF31_RS02595
OG0000149	NB624_RS03005	FEF31_RS02585
OG0000150	NB624_RS02990	FEF31_RS02570
OG0000151	NB624_RS02945	FEF31_RS02525
OG0000152	NB624_RS02940	FEF31_RS02520
OG0000153	NB624_RS02935	FEF31_RS02515
OG0000154	NB624_RS02925	FEF31_RS02505
OG0000155	NB624_RS02885	FEF31_RS02465
OG0000156	NB624_RS02880	FEF31_RS02455
OG0000157	NB624_RS02870	FEF31_RS04545
OG0000158	NB624_RS02860	FEF31_RS04540
OG0000159	NB624_RS02610	FEF31_RS02195
OG0000160	NB624_RS02605	FEF31_RS02190
OG0000161	NB624_RS02600	FEF31_RS02185
OG0000162	NB624_RS02590	FEF31_RS02175
OG0000163	NB624_RS02585	FEF31_RS02170
OG0000164	NB624_RS01600	FEF31_RS01270
OG0000165	NB624_RS01945	FEF31_RS01685
OG0000166	NB624_RS01965	FEF31_RS01705
OG0000167	NB624_RS01980	FEF31_RS01720
OG0000168	NB624_RS01985	FEF31_RS01725
OG0000169	NB624_RS03205	FEF31_RS03615
OG0000170	NB624_RS03220	FEF31_RS04785, FEF31_RS04795
OG0000171	NB624_RS03230	FEF31_RS03640
OG0000172	NB624_RS03235	FEF31_RS03645
OG0000173	NB624_RS03240	FEF31_RS03650
OG0000174	NB624_RS03245	FEF31_RS03655
OG0000175	NB624_RS03265	FEF31_RS03670
OG0000176	NB624_RS03315	FEF31_RS03715
OG0000177	NB624_RS03320	FEF31_RS03720
OG0000178	NB624_RS03325	FEF31_RS03725
OG0000179	NB624_RS03335	FEF31_RS03735
OG0000180	NB624_RS03340	FEF31_RS03740
OG0000181	NB624_RS03380	FEF31_RS04690
OG0000182	NB624_RS03390	FEF31_RS03795
OG0000183	NB624_RS03425	FEF31_RS03830
OG0000184	NB624_RS03470	FEF31_RS02980
OG0000185	NB624_RS03455	FEF31_RS02965
OG0000186	NB624_RS01515	FEF31_RS04435
OG0000187	NB624_RS01530	FEF31_RS01200
OG0000188	NB624_RS01540	FEF31_RS01210
OG0000189	NB624_RS02440	FEF31_RS04520
OG0000190	NB624_RS02435	FEF31_RS02035
OG0000191	NB624_RS02410	FEF31_RS02015
OG0000192	NB624_RS01205	FEF31_RS00875
OG0000193	NB624_RS01195	FEF31_RS00860
OG0000194	NB624_RS00990	FEF31_RS00345
OG0000195	NB624_RS00985	FEF31_RS00350
OG0000196	NB624_RS00960	FEF31_RS00370
OG0000197	NB624_RS00955	FEF31_RS00375
OG0000198	NB624_RS00940	FEF31_RS00390
OG0000199	NB624_RS00935	FEF31_RS00395
OG0000200	NB624_RS00920	FEF31_RS00410
OG0000201	NB624_RS00910	FEF31_RS00420
OG0000202	NB624_RS00855	FEF31_RS00475
OG0000203	NB624_RS00850	FEF31_RS00480
OG0000204	NB624_RS00845	FEF31_RS00485
OG0000205	NB624_RS00840	FEF31_RS00490
OG0000206	NB624_RS00820	FEF31_RS00510
OG0000207	NB624_RS00805	FEF31_RS00525
OG0000208	NB624_RS00800	FEF31_RS00530
OG0000209	NB624_RS00795	FEF31_RS00535
OG0000210	NB624_RS00750	FEF31_RS00580
OG0000211	NB624_RS00740	FEF31_RS00590
OG0000212	NB624_RS00730	FEF31_RS00600
OG0000213	NB624_RS00725	FEF31_RS00605
OG0000214	NB624_RS00720	FEF31_RS00610
OG0000215	NB624_RS00715	FEF31_RS00615
OG0000216	NB624_RS00710	FEF31_RS00620
OG0000217	NB624_RS00705	FEF31_RS00625
OG0000218	NB624_RS00695	FEF31_RS00635
OG0000219	NB624_RS00690	FEF31_RS00640
OG0000220	NB624_RS00685	FEF31_RS00645
OG0000221	NB624_RS00680	FEF31_RS00650
OG0000222	NB624_RS00675	FEF31_RS00655
OG0000223	NB624_RS00670	FEF31_RS00660
OG0000224	NB624_RS00660	FEF31_RS00670
OG0000225	NB624_RS00650	FEF31_RS00680
OG0000226	NB624_RS00645	FEF31_RS00685
OG0000227	NB624_RS00640	FEF31_RS00690
OG0000228	NB624_RS00635	FEF31_RS04770
OG0000229	NB624_RS00630	FEF31_RS00700
OG0000230	NB624_RS00625	FEF31_RS00705
OG0000231	NB624_RS00615	FEF31_RS00715
OG0000232	NB624_RS00605	FEF31_RS00725
OG0000233	NB624_RS01095	FEF31_RS00750
OG0000234	NB624_RS01130	FEF31_RS00785
OG0000235	NB624_RS01140	FEF31_RS00795
OG0000236	NB624_RS01145	FEF31_RS00800
OG0000237	NB624_RS01150	FEF31_RS00805
OG0000238	NB624_RS01155	FEF31_RS00810
OG0000239	NB624_RS03100	FEF31_RS02680
OG0000240	NB624_RS03105	FEF31_RS02685
OG0000241	NB624_RS03115	FEF31_RS02695
OG0000242	NB624_RS03120	FEF31_RS02700
OG0000243	NB624_RS03125	FEF31_RS02705
OG0000244	NB624_RS03135	FEF31_RS02715
OG0000245	NB624_RS03145	FEF31_RS02720
OG0000246	NB624_RS00140	FEF31_RS03410
OG0000247	NB624_RS00150	FEF31_RS03420
OG0000248	NB624_RS00160	FEF31_RS03430
OG0000249	NB624_RS00165	FEF31_RS03435
OG0000250	NB624_RS00180	FEF31_RS03450
OG0000251	NB624_RS00210	FEF31_RS03480
OG0000252	NB624_RS00220	FEF31_RS03490
OG0000253	NB624_RS00225	FEF31_RS03495
OG0000254	NB624_RS00235	FEF31_RS03505
OG0000255	NB624_RS00240	FEF31_RS03510
OG0000256	NB624_RS00245	FEF31_RS03515
OG0000257	NB624_RS00270	FEF31_RS03540
OG0000258	NB624_RS00280	FEF31_RS03550
OG0000259	NB624_RS00310	FEF31_RS03580
OG0000260	NB624_RS00320	FEF31_RS03590
OG0000261	NB624_RS00330	FEF31_RS04680
OG0000262	NB624_RS00350	FEF31_RS00010
OG0000263	NB624_RS00360	FEF31_RS00025
OG0000264	NB624_RS00375	FEF31_RS00040
OG0000265	NB624_RS00385	FEF31_RS00050
OG0000266	NB624_RS00400	FEF31_RS00065
OG0000267	NB624_RS00415	FEF31_RS00080
OG0000268	NB624_RS00420	FEF31_RS00085
OG0000269	NB624_RS00435	FEF31_RS00100
OG0000270	NB624_RS03635	FEF31_RS04635
OG0000271	NB624_RS03630	FEF31_RS03160
OG0000272	NB624_RS03625	FEF31_RS03155
OG0000273	NB624_RS03620	FEF31_RS03150
OG0000274	NB624_RS03605	FEF31_RS03130
OG0000275	NB624_RS03595	FEF31_RS04625
