Orthogroup	MHP_MHP679_genes	MHP_ES2_genes
OG0000000	DR086_RS03500	E5E95_RS02235
OG0000000	DR086_RS04585	E5E95_RS02430
OG0000000	DR086_RS04250	E5E95_RS01830
OG0000000	DR086_RS04245	E5E95_RS04235, E5E95_RS01835
OG0000001	DR086_RS03435	E5E95_RS01300
OG0000001	DR086_RS01010	E5E95_RS03000
OG0000002	DR086_RS04310	E5E95_RS02320
OG0000002	DR086_RS05060	E5E95_RS02250
OG0000002	DR086_RS04880	E5E95_RS01840
OG0000003	DR086_RS03690	E5E95_RS00505
OG0000003	DR086_RS04545	E5E95_RS04060
OG0000003	DR086_RS05055	E5E95_RS04070
OG0000003	DR086_RS05085	E5E95_RS03910
OG0000004	DR086_RS03630	E5E95_RS03410, E5E95_RS03400, E5E95_RS03415
OG0000004	DR086_RS03555	E5E95_RS03425
OG0000005	DR086_RS03245	E5E95_RS00090
OG0000005	DR086_RS03255	E5E95_RS00095
OG0000005	DR086_RS05035	E5E95_RS00100, E5E95_RS00115
OG0000006	DR086_RS04315	E5E95_RS02705
OG0000007	DR086_RS03485	E5E95_RS02300
OG0000007	DR086_RS03495	E5E95_RS02290
OG0000008	DR086_RS04265	E5E95_RS03905
OG0000008	DR086_RS02140	E5E95_RS04135
OG0000009	DR086_RS04375	E5E95_RS01210
OG0000010	DR086_RS00810	E5E95_RS01970
OG0000011	DR086_RS00450	E5E95_RS02070
OG0000011	DR086_RS00445	E5E95_RS02060
OG0000013	DR086_RS03105	E5E95_RS02610
OG0000013	DR086_RS04005	E5E95_RS03955
OG0000014	DR086_RS03610	E5E95_RS01105
OG0000014	DR086_RS04970	E5E95_RS00605
OG0000015	DR086_RS03700	E5E95_RS04195
OG0000015	DR086_RS03685	E5E95_RS01590
OG0000016	DR086_RS01050	E5E95_RS03040
OG0000016	DR086_RS00030	E5E95_RS00160
OG0000017	DR086_RS00015	E5E95_RS00145
OG0000017	DR086_RS01060	E5E95_RS03050
OG0000019	DR086_RS04570	E5E95_RS04175, E5E95_RS04180
OG0000021	DR086_RS00630	E5E95_RS01875
OG0000021	DR086_RS03665	E5E95_RS03755
OG0000022	DR086_RS01645	E5E95_RS01770
OG0000022	DR086_RS04885	E5E95_RS01825
OG0000023	DR086_RS02015	E5E95_RS01335
OG0000024	DR086_RS03190	E5E95_RS02945
OG0000025	DR086_RS04890	E5E95_RS01775
OG0000025	DR086_RS01595	E5E95_RS01820
OG0000026	DR086_RS01970	E5E95_RS01380
OG0000026	DR086_RS01615	E5E95_RS01800
OG0000027	DR086_RS05030	E5E95_RS03560
OG0000027	DR086_RS04870	E5E95_RS03575
OG0000028	DR086_RS02225, DR086_RS03150	E5E95_RS02620
OG0000029	DR086_RS02730	E5E95_RS01100
OG0000030	DR086_RS05025	E5E95_RS03550
OG0000030	DR086_RS04875	E5E95_RS03570
OG0000032	DR086_RS03980	E5E95_RS03995
OG0000032	DR086_RS03870	E5E95_RS03565
OG0000034	DR086_RS04575	E5E95_RS04045
OG0000034	DR086_RS04580	E5E95_RS04050
OG0000036	DR086_RS03265	E5E95_RS00105, E5E95_RS00120
OG0000037	DR086_RS04510	E5E95_RS04000
OG0000039	DR086_RS03295	E5E95_RS01650, E5E95_RS01645
OG0000040	DR086_RS02360	E5E95_RS03495
OG0000041	DR086_RS03635	E5E95_RS00670
OG0000042	DR086_RS02970	E5E95_RS03140
OG0000043	DR086_RS00750, DR086_RS00415	E5E95_RS02030
OG0000044	DR086_RS05095	E5E95_RS04290
OG0000045	DR086_RS03290	E5E95_RS01655
OG0000047	DR086_RS00730	E5E95_RS01725, E5E95_RS04095, E5E95_RS04090, E5E95_RS04085
OG0000048	DR086_RS00610	E5E95_RS02215
