Orthogroup	MHP_MHP679_genes	MHP_ES2L_genes
OG0000000	DR086_RS03500	HZK19_RS03960, HZK19_RS02100
OG0000000	DR086_RS04585	HZK19_RS02290
OG0000000	DR086_RS04250	HZK19_RS01690
OG0000000	DR086_RS04245	HZK19_RS01695
OG0000001	DR086_RS03435	HZK19_RS03720
OG0000001	DR086_RS01010	HZK19_RS02765
OG0000002	DR086_RS04310	HZK19_RS02175
OG0000002	DR086_RS05060	HZK19_RS02110
OG0000002	DR086_RS04880	HZK19_RS01705
OG0000003	DR086_RS04545	HZK19_RS03785
OG0000003	DR086_RS05055	HZK19_RS02160
OG0000003	DR086_RS05085	HZK19_RS01800
OG0000004	DR086_RS03630	HZK19_RS03240, HZK19_RS03230
OG0000004	DR086_RS03555	HZK19_RS03255
OG0000005	DR086_RS03245	HZK19_RS00085
OG0000005	DR086_RS03255	HZK19_RS00090
OG0000005	DR086_RS05035	HZK19_RS00095, HZK19_RS00110
OG0000006	DR086_RS04315	HZK19_RS02470
OG0000007	DR086_RS03485	HZK19_RS02155
OG0000007	DR086_RS03495	HZK19_RS02145
OG0000008	DR086_RS04265	HZK19_RS03745
OG0000008	DR086_RS02140	HZK19_RS03825
OG0000010	DR086_RS00810	HZK19_RS01810
OG0000011	DR086_RS00450	HZK19_RS03920
OG0000012	DR086_RS03950	HZK19_RS01825
OG0000013	DR086_RS03105	HZK19_RS02370
OG0000013	DR086_RS04005	HZK19_RS03715
OG0000014	DR086_RS04970	HZK19_RS00595
OG0000015	DR086_RS03700	HZK19_RS03870
OG0000016	DR086_RS01050	HZK19_RS02805
OG0000016	DR086_RS00030	HZK19_RS00155
OG0000017	DR086_RS00015	HZK19_RS00140
OG0000017	DR086_RS01060	HZK19_RS02815
OG0000019	DR086_RS04570	HZK19_RS03845, HZK19_RS03850
OG0000020	DR086_RS02470	HZK19_RS03600
OG0000022	DR086_RS01645	HZK19_RS01625
OG0000022	DR086_RS04885	HZK19_RS01685
OG0000024	DR086_RS03190	HZK19_RS02710
OG0000025	DR086_RS04890	HZK19_RS01630
OG0000025	DR086_RS01595	HZK19_RS01680
OG0000026	DR086_RS01970	HZK19_RS01330
OG0000026	DR086_RS01615	HZK19_RS01660
OG0000027	DR086_RS05030	HZK19_RS03390
OG0000027	DR086_RS04870	HZK19_RS03405
OG0000029	DR086_RS02730	HZK19_RS01065
OG0000030	DR086_RS05025	HZK19_RS03380
OG0000030	DR086_RS04875	HZK19_RS03400
OG0000031	DR086_RS03310	HZK19_RS01570
OG0000031	DR086_RS00745	HZK19_RS03025
OG0000032	DR086_RS03980	HZK19_RS01545
OG0000032	DR086_RS03870	HZK19_RS03395
OG0000034	DR086_RS04575	HZK19_RS03770
OG0000034	DR086_RS04580	HZK19_RS03775
OG0000036	DR086_RS03265	HZK19_RS00100, HZK19_RS03705, HZK19_RS03710
OG0000037	DR086_RS04510	HZK19_RS01555
