Orthogroup	MHP_MHP679_genes	MFC_ATCC27716_genes
OG0000001	DR086_RS03435, DR086_RS01010, DR086_RS03200, DR086_RS03195	MFC_RS03350
OG0000002	DR086_RS04310	MFC_RS00395
OG0000002	DR086_RS05060	MFC_RS02940
OG0000002	DR086_RS04880	MFC_RS00370
OG0000003	DR086_RS05055	MFC_RS02995
OG0000007	DR086_RS03485	MFC_RS02975
OG0000007	DR086_RS03495	MFC_RS02965
OG0000008	DR086_RS04265	MFC_RS03380
OG0000011	DR086_RS00450	MFC_RS03510, MFC_RS03505
OG0000011	DR086_RS00445	MFC_RS01350
OG0000013	DR086_RS03105	MFC_RS03175, MFC_RS02880
OG0000013	DR086_RS04005	MFC_RS03420
OG0000014	DR086_RS03610, DR086_RS04970	MFC_RS00870
OG0000015	DR086_RS00690	MFC_RS03450
OG0000016	DR086_RS01050	MFC_RS01050
OG0000017	DR086_RS00015	MFC_RS03155
OG0000017	DR086_RS01060	MFC_RS01040
OG0000019	DR086_RS04570	MFC_RS03000, MFC_RS03330
OG0000020	DR086_RS02470	MFC_RS00300
OG0000022	DR086_RS04885	MFC_RS00360
OG0000024	DR086_RS03190	MFC_RS01110
OG0000025	DR086_RS01595	MFC_RS00355
OG0000026	DR086_RS01970, DR086_RS01615	MFC_RS00580
OG0000027	DR086_RS04870	MFC_RS02850
OG0000029	DR086_RS02730	MFC_RS00875
OG0000030	DR086_RS05025, DR086_RS04875	MFC_RS02855
OG0000031	DR086_RS00745	MFC_RS01295
OG0000032	DR086_RS03980	MFC_RS02685
OG0000032	DR086_RS03870	MFC_RS02860
OG0000037	DR086_RS04510	MFC_RS03185
OG0000037	DR086_RS03330	MFC_RS03295
OG0000037	DR086_RS03325	MFC_RS00375
OG0000039	DR086_RS03295	MFC_RS03135, MFC_RS00935
OG0000042	DR086_RS02970	MFC_RS00930, MFC_RS01085
OG0000043	DR086_RS00415	MFC_RS01320
OG0000045	DR086_RS03290	MFC_RS00950
OG0000047	DR086_RS00730	MFC_RS03280
OG0000048	DR086_RS00610	MFC_RS00140
OG0000049	DR086_RS01430	MFC_RS03220, MFC_RS03365
OG0000050	DR086_RS02195	MFC_RS01260
OG0000051	DR086_RS00855	MFC_RS02240
OG0000052	DR086_RS01150	MFC_RS00160
OG0000053	DR086_RS04905	MFC_RS00665
OG0000054	DR086_RS02170	MFC_RS01235
OG0000055	DR086_RS03270	MFC_RS03415, MFC_RS03540
OG0000056	DR086_RS02455	MFC_RS00325
OG0000057	DR086_RS01130	MFC_RS00965
OG0000062	DR086_RS01260	MFC_RS00270
OG0000063	DR086_RS04835	MFC_RS00275
OG0000064	DR086_RS01275	MFC_RS00285
OG0000065	DR086_RS02080	MFC_RS00440
OG0000066	DR086_RS01980	MFC_RS00570
OG0000068	DR086_RS01570	MFC_RS00910
OG0000069	DR086_RS01025	MFC_RS01075
OG0000070	DR086_RS02165	MFC_RS01215
OG0000071	DR086_RS02350	MFC_RS01630
OG0000072	DR086_RS04935	MFC_RS01635
OG0000073	DR086_RS03040	MFC_RS03395, MFC_RS03390
OG0000075	DR086_RS03840	MFC_RS02565
OG0000076	DR086_RS00225	MFC_RS02580
OG0000077	DR086_RS00315	MFC_RS02670
OG0000078	DR086_RS01625	MFC_RS03005
OG0000079	DR086_RS00950	MFC_RS02930, MFC_RS03120
OG0000080	DR086_RS04145	MFC_RS03315
OG0000081	DR086_RS00205	MFC_RS03430, MFC_RS02560
OG0000082	DR086_RS03110	MFC_RS02870
OG0000083	DR086_RS00520	MFC_RS00040
OG0000084	DR086_RS00545	MFC_RS00070
OG0000085	DR086_RS00550	MFC_RS00075
OG0000086	DR086_RS00560	MFC_RS00085
OG0000087	DR086_RS00575	MFC_RS03320
OG0000088	DR086_RS00580	MFC_RS00105
OG0000089	DR086_RS00590	MFC_RS00115
OG0000090	DR086_RS01155	MFC_RS00165
OG0000091	DR086_RS01170	MFC_RS00180
OG0000092	DR086_RS01185	MFC_RS00195
OG0000093	DR086_RS01190	MFC_RS00200
OG0000094	DR086_RS01195	MFC_RS00205
OG0000095	DR086_RS01220	MFC_RS00230
OG0000096	DR086_RS01225	MFC_RS00235
OG0000097	DR086_RS01245	MFC_RS00255
OG0000098	DR086_RS01255	MFC_RS00265
OG0000099	DR086_RS04950	MFC_RS00320
OG0000100	DR086_RS02445	MFC_RS00335
OG0000101	DR086_RS02440	MFC_RS00340
OG0000102	DR086_RS01600	MFC_RS00350
OG0000103	DR086_RS02115	MFC_RS00405
OG0000104	DR086_RS02110	MFC_RS00410
OG0000105	DR086_RS02095	MFC_RS00425
OG0000106	DR086_RS02085	MFC_RS00435
OG0000107	DR086_RS02075	MFC_RS00445
OG0000108	DR086_RS02070	MFC_RS00450
OG0000109	DR086_RS02065	MFC_RS00455
OG0000110	DR086_RS03120	MFC_RS00460
OG0000111	DR086_RS03125	MFC_RS00465
OG0000112	DR086_RS03135	MFC_RS00475
OG0000113	DR086_RS05050	MFC_RS00490
OG0000114	DR086_RS03455	MFC_RS00500
OG0000115	DR086_RS03475	MFC_RS00510
OG0000116	DR086_RS03410	MFC_RS00520
OG0000117	DR086_RS03405	MFC_RS00525
OG0000118	DR086_RS01995	MFC_RS00555
OG0000119	DR086_RS01990	MFC_RS00560
OG0000120	DR086_RS01975	MFC_RS00575
OG0000121	DR086_RS01950	MFC_RS00600
OG0000122	DR086_RS01945	MFC_RS00605
OG0000123	DR086_RS01925	MFC_RS00625
OG0000124	DR086_RS01920	MFC_RS00630
OG0000125	DR086_RS01915	MFC_RS00635
OG0000126	DR086_RS01900	MFC_RS00645
OG0000127	DR086_RS01890	MFC_RS00655
OG0000128	DR086_RS01875	MFC_RS00670
OG0000129	DR086_RS01870	MFC_RS00675
OG0000130	DR086_RS01860	MFC_RS00685
OG0000131	DR086_RS01830	MFC_RS00715
OG0000132	DR086_RS04900	MFC_RS00735
OG0000133	DR086_RS02245	MFC_RS00805
OG0000134	DR086_RS02250	MFC_RS00810
OG0000135	DR086_RS02265	MFC_RS00825
OG0000136	DR086_RS02270	MFC_RS00830
OG0000137	DR086_RS02310	MFC_RS00860
OG0000138	DR086_RS02775	MFC_RS00885
OG0000139	DR086_RS02745	MFC_RS00915
OG0000140	DR086_RS02740	MFC_RS00920
OG0000141	DR086_RS03720	MFC_RS00955
OG0000142	DR086_RS04820	MFC_RS00960
OG0000143	DR086_RS01115	MFC_RS00985
OG0000144	DR086_RS01105	MFC_RS00995
OG0000145	DR086_RS01095	MFC_RS01005
OG0000146	DR086_RS01085	MFC_RS01015
OG0000147	DR086_RS01080	MFC_RS01020
OG0000148	DR086_RS01065	MFC_RS01035
OG0000149	DR086_RS01055	MFC_RS01045
OG0000150	DR086_RS01040	MFC_RS01060
OG0000151	DR086_RS03230	MFC_RS01115
OG0000152	DR086_RS03225	MFC_RS01120
OG0000153	DR086_RS03220	MFC_RS01125
OG0000154	DR086_RS03210	MFC_RS01135
OG0000155	DR086_RS03005	MFC_RS01155
OG0000156	DR086_RS02995	MFC_RS01175
OG0000157	DR086_RS05005	MFC_RS01180
OG0000158	DR086_RS05000	MFC_RS01190
OG0000159	DR086_RS05100	MFC_RS01245
OG0000160	DR086_RS02185	MFC_RS01250
OG0000161	DR086_RS02190	MFC_RS01255
OG0000162	DR086_RS02200	MFC_RS01265
OG0000163	DR086_RS02205	MFC_RS01270
OG0000164	DR086_RS03305	MFC_RS01300
OG0000165	DR086_RS00440	MFC_RS01345
OG0000166	DR086_RS00460	MFC_RS01365
OG0000167	DR086_RS00475	MFC_RS01380
OG0000168	DR086_RS00480	MFC_RS01385
OG0000169	DR086_RS01435	MFC_RS01430
OG0000170	DR086_RS01420	MFC_RS01455
OG0000171	DR086_RS01410	MFC_RS01465
OG0000172	DR086_RS01405	MFC_RS01470
OG0000173	DR086_RS01400	MFC_RS01475
OG0000174	DR086_RS01395	MFC_RS01480
OG0000175	DR086_RS01380	MFC_RS01495
OG0000176	DR086_RS01330	MFC_RS01540
OG0000177	DR086_RS01325	MFC_RS01545
OG0000178	DR086_RS01320	MFC_RS01550
OG0000179	DR086_RS01310	MFC_RS01560
OG0000180	DR086_RS01305	MFC_RS01565
OG0000181	DR086_RS05065	MFC_RS01580
OG0000182	DR086_RS03535	MFC_RS01590
OG0000183	DR086_RS02345	MFC_RS01625
OG0000184	DR086_RS02390	MFC_RS01655
OG0000185	DR086_RS02375	MFC_RS01670
OG0000186	DR086_RS04895	MFC_RS01710
OG0000187	DR086_RS01790	MFC_RS01725
OG0000188	DR086_RS01780	MFC_RS01735
OG0000189	DR086_RS04920	MFC_RS03385
OG0000190	DR086_RS02035	MFC_RS01750
OG0000191	DR086_RS02055	MFC_RS01770
OG0000192	DR086_RS02515	MFC_RS01780
OG0000193	DR086_RS02500	MFC_RS01795
OG0000194	DR086_RS03025	MFC_RS01805
OG0000195	DR086_RS03030	MFC_RS01810
OG0000196	DR086_RS03050	MFC_RS01830
OG0000197	DR086_RS03055	MFC_RS01835
OG0000198	DR086_RS03070	MFC_RS01850
OG0000199	DR086_RS03075	MFC_RS01855
OG0000200	DR086_RS03090	MFC_RS01865
OG0000201	DR086_RS03100	MFC_RS01875
OG0000202	DR086_RS03345	MFC_RS01930
OG0000203	DR086_RS03340	MFC_RS01935
OG0000204	DR086_RS04975	MFC_RS01940
OG0000205	DR086_RS02805	MFC_RS01945
OG0000206	DR086_RS02825	MFC_RS01965
OG0000207	DR086_RS02840	MFC_RS01980
OG0000208	DR086_RS02845	MFC_RS01985
OG0000209	DR086_RS02850	MFC_RS01990
OG0000210	DR086_RS02895	MFC_RS02040
OG0000211	DR086_RS02580	MFC_RS02050
OG0000212	DR086_RS02590	MFC_RS02060
OG0000213	DR086_RS02595	MFC_RS02065
OG0000214	DR086_RS02600	MFC_RS02070
OG0000215	DR086_RS02605	MFC_RS02075
OG0000216	DR086_RS02610	MFC_RS02080
OG0000217	DR086_RS02615	MFC_RS02085
OG0000218	DR086_RS02625	MFC_RS02095
OG0000219	DR086_RS02630	MFC_RS02100
OG0000220	DR086_RS02635	MFC_RS02105
OG0000221	DR086_RS02640	MFC_RS02110
OG0000222	DR086_RS02645	MFC_RS03235
OG0000223	DR086_RS02650	MFC_RS02115
OG0000224	DR086_RS02660	MFC_RS02125
OG0000225	DR086_RS02670	MFC_RS02135
OG0000226	DR086_RS02675	MFC_RS02140
OG0000227	DR086_RS02680	MFC_RS02145
OG0000228	DR086_RS05105	MFC_RS03530
OG0000229	DR086_RS02690	MFC_RS02155
OG0000230	DR086_RS02695	MFC_RS02160
OG0000231	DR086_RS02705	MFC_RS02170
OG0000232	DR086_RS02715	MFC_RS02180
OG0000233	DR086_RS01680	MFC_RS02190
OG0000234	DR086_RS01715	MFC_RS02220
OG0000235	DR086_RS01725	MFC_RS02230
OG0000236	DR086_RS01730	MFC_RS02235
OG0000237	DR086_RS01735	MFC_RS02250
OG0000238	DR086_RS01745	MFC_RS02255
OG0000239	DR086_RS02960	MFC_RS02285
OG0000240	DR086_RS02955	MFC_RS02290
OG0000241	DR086_RS02945	MFC_RS02300
OG0000242	DR086_RS02940	MFC_RS02305
OG0000243	DR086_RS02935	MFC_RS02310
OG0000244	DR086_RS02925	MFC_RS02320
OG0000245	DR086_RS02915	MFC_RS02330
OG0000246	DR086_RS03275	MFC_RS02345
OG0000247	DR086_RS00010	MFC_RS02355
OG0000248	DR086_RS00020	MFC_RS02380
OG0000249	DR086_RS00025	MFC_RS02385
OG0000250	DR086_RS00040	MFC_RS02400
OG0000251	DR086_RS00075	MFC_RS02430
OG0000252	DR086_RS00085	MFC_RS02440
OG0000253	DR086_RS00090	MFC_RS02445
OG0000254	DR086_RS00100	MFC_RS02455
OG0000255	DR086_RS00110	MFC_RS02465
OG0000256	DR086_RS00115	MFC_RS02470
OG0000257	DR086_RS00140	MFC_RS02495
OG0000258	DR086_RS00150	MFC_RS02505
OG0000259	DR086_RS00180	MFC_RS02535
OG0000260	DR086_RS00190	MFC_RS02545
OG0000261	DR086_RS04745	MFC_RS02555
OG0000262	DR086_RS00215	MFC_RS02570
OG0000263	DR086_RS00230	MFC_RS02585
