Orthogroup	MHP_MHP679_genes	MHP_UFV02_genes
OG0000000	DR086_RS04585	FEF31_RS02055
OG0000000	DR086_RS04250	FEF31_RS01380
OG0000001	DR086_RS03435	FEF31_RS00940
OG0000001	DR086_RS01010	FEF31_RS02540
OG0000002	DR086_RS04310	FEF31_RS01945
OG0000002	DR086_RS05060	FEF31_RS04505
OG0000002	DR086_RS04880	FEF31_RS04455
OG0000003	DR086_RS05055	FEF31_RS04510
OG0000003	DR086_RS05085	FEF31_RS01590
OG0000004	DR086_RS03630	FEF31_RS03760
OG0000004	DR086_RS03555	FEF31_RS03775
OG0000005	DR086_RS03245	FEF31_RS03370
OG0000005	DR086_RS03255	FEF31_RS04660
OG0000005	DR086_RS05035	FEF31_RS03380, FEF31_RS04670
OG0000007	DR086_RS03485	FEF31_RS01925
OG0000007	DR086_RS03495	FEF31_RS01910
OG0000008	DR086_RS04265	FEF31_RS01300
OG0000008	DR086_RS02140	FEF31_RS02250
OG0000009	DR086_RS04375	FEF31_RS00845
OG0000010	DR086_RS00810	FEF31_RS01600
OG0000011	DR086_RS00450	FEF31_RS01695
OG0000011	DR086_RS00445	FEF31_RS01690
OG0000013	DR086_RS03105	FEF31_RS02135
OG0000013	DR086_RS04005	FEF31_RS03455
OG0000014	DR086_RS03610	FEF31_RS00745
OG0000014	DR086_RS04970	FEF31_RS04375
OG0000015	DR086_RS00690	FEF31_RS01395
OG0000016	DR086_RS01050	FEF31_RS02580
OG0000016	DR086_RS00030	FEF31_RS03440
OG0000017	DR086_RS00015	FEF31_RS03425
OG0000017	DR086_RS01060	FEF31_RS02590
OG0000018	DR086_RS04795	FEF31_RS01415, FEF31_RS01420
OG0000019	DR086_RS04570	FEF31_RS04805
OG0000020	DR086_RS02470	FEF31_RS04270
OG0000022	DR086_RS01645	FEF31_RS01320
OG0000022	DR086_RS04885	FEF31_RS04450
OG0000023	DR086_RS04105	FEF31_RS01405
OG0000024	DR086_RS03190	FEF31_RS02485
OG0000025	DR086_RS04890	FEF31_RS04445
OG0000025	DR086_RS01595	FEF31_RS01370
OG0000026	DR086_RS01970	FEF31_RS01025
OG0000026	DR086_RS01615	FEF31_RS01350
OG0000027	DR086_RS05030	FEF31_RS03015
OG0000027	DR086_RS04870	FEF31_RS04605
OG0000029	DR086_RS02730	FEF31_RS00735
OG0000030	DR086_RS05025	FEF31_RS04590
OG0000030	DR086_RS04875	FEF31_RS04600
OG0000031	DR086_RS03310	FEF31_RS01265
OG0000031	DR086_RS00745	FEF31_RS01450
OG0000032	DR086_RS03870	FEF31_RS03020
OG0000034	DR086_RS04575	FEF31_RS01895
OG0000036	DR086_RS03265	FEF31_RS03385, FEF31_RS03400
OG0000039	DR086_RS03295	FEF31_RS01275
OG0000040	DR086_RS02360	FEF31_RS03890
OG0000041	DR086_RS03635	FEF31_RS00330
OG0000042	DR086_RS02970	FEF31_RS02675
OG0000043	DR086_RS00415	FEF31_RS01660, FEF31_RS01455
OG0000044	DR086_RS05095	FEF31_RS04775
OG0000045	DR086_RS03290	FEF31_RS01280, FEF31_RS01285
OG0000047	DR086_RS00730	FEF31_RS01435
OG0000048	DR086_RS00610	FEF31_RS01845
OG0000049	DR086_RS01430	FEF31_RS03620
OG0000050	DR086_RS02195	FEF31_RS02180
OG0000051	DR086_RS00855	FEF31_RS02395
OG0000052	DR086_RS01150	FEF31_RS03360
OG0000053	DR086_RS04905	FEF31_RS04425
OG0000054	DR086_RS02170	FEF31_RS02205
OG0000055	DR086_RS03270	FEF31_RS03405
OG0000056	DR086_RS02455	FEF31_RS03205
OG0000057	DR086_RS01130	FEF31_RS02660
OG0000058	DR086_RS00765	FEF31_RS01470
OG0000059	DR086_RS04120	FEF31_RS01460
OG0000061	DR086_RS00820	FEF31_RS01610
OG0000062	DR086_RS01260	FEF31_RS03250
OG0000063	DR086_RS04835	FEF31_RS04645
OG0000064	DR086_RS01275	FEF31_RS03235
OG0000065	DR086_RS02080	FEF31_RS01990
OG0000066	DR086_RS01980	FEF31_RS01015
OG0000067	DR086_RS02240	FEF31_RS00185
OG0000068	DR086_RS01570	FEF31_RS00305
OG0000069	DR086_RS01025	FEF31_RS02555
OG0000070	DR086_RS02165	FEF31_RS02210
OG0000071	DR086_RS02350	FEF31_RS03835
OG0000072	DR086_RS04935	FEF31_RS04700
OG0000073	DR086_RS03040	FEF31_RS00360
OG0000074	DR086_RS04990	FEF31_RS04395
OG0000075	DR086_RS03840	FEF31_RS00005
OG0000076	DR086_RS00225	FEF31_RS00020
OG0000077	DR086_RS00315	FEF31_RS00105
OG0000078	DR086_RS01625	FEF31_RS01340
OG0000079	DR086_RS00950	FEF31_RS02300
OG0000080	DR086_RS04145	FEF31_RS02345
OG0000081	DR086_RS00205	FEF31_RS03610
OG0000082	DR086_RS03110	FEF31_RS02130
OG0000083	DR086_RS00520	FEF31_RS01765
OG0000084	DR086_RS00545	FEF31_RS01795
OG0000085	DR086_RS00550	FEF31_RS01800
OG0000086	DR086_RS00560	FEF31_RS01810
OG0000087	DR086_RS00575	FEF31_RS01825
OG0000088	DR086_RS00580	FEF31_RS01830
OG0000089	DR086_RS00590	FEF31_RS01840
OG0000090	DR086_RS01155	FEF31_RS03355
OG0000091	DR086_RS01170	FEF31_RS03340
OG0000092	DR086_RS01185	FEF31_RS03325
OG0000093	DR086_RS01190	FEF31_RS03320
OG0000094	DR086_RS01195	FEF31_RS03315
OG0000095	DR086_RS01220	FEF31_RS03290
OG0000096	DR086_RS01225	FEF31_RS03285
OG0000097	DR086_RS01245	FEF31_RS03265
OG0000098	DR086_RS01255	FEF31_RS03255
OG0000099	DR086_RS04950	FEF31_RS04640
OG0000100	DR086_RS02445	FEF31_RS03195
OG0000101	DR086_RS02440	FEF31_RS03190
OG0000102	DR086_RS01600	FEF31_RS01365
OG0000103	DR086_RS02115	FEF31_RS01955
OG0000104	DR086_RS02110	FEF31_RS01960
OG0000105	DR086_RS02095	FEF31_RS01975
OG0000106	DR086_RS02085	FEF31_RS01985
OG0000107	DR086_RS02075	FEF31_RS01995
OG0000108	DR086_RS02070	FEF31_RS02000
OG0000109	DR086_RS02065	FEF31_RS02005
OG0000110	DR086_RS03120	FEF31_RS02120
OG0000111	DR086_RS03125	FEF31_RS02115
OG0000112	DR086_RS03135	FEF31_RS02105
OG0000113	DR086_RS05050	FEF31_RS02085
OG0000114	DR086_RS03455	FEF31_RS02075
OG0000115	DR086_RS03475	FEF31_RS02065
OG0000116	DR086_RS03410	FEF31_RS00955
OG0000117	DR086_RS03405	FEF31_RS00960
OG0000118	DR086_RS01995	FEF31_RS00995
OG0000119	DR086_RS01990	FEF31_RS01000
OG0000120	DR086_RS01975	FEF31_RS01020
OG0000121	DR086_RS01950	FEF31_RS01045
OG0000122	DR086_RS01945	FEF31_RS01050
OG0000123	DR086_RS01925	FEF31_RS01070
OG0000124	DR086_RS01920	FEF31_RS01075
OG0000125	DR086_RS01915	FEF31_RS01080
OG0000126	DR086_RS01900	FEF31_RS01090
OG0000127	DR086_RS01890	FEF31_RS01100
OG0000128	DR086_RS01875	FEF31_RS01115
OG0000129	DR086_RS01870	FEF31_RS01120
OG0000130	DR086_RS01860	FEF31_RS01130
OG0000131	DR086_RS01830	FEF31_RS01160
OG0000132	DR086_RS04900	FEF31_RS04430
OG0000133	DR086_RS02245	FEF31_RS00190
OG0000134	DR086_RS02250	FEF31_RS00195
OG0000135	DR086_RS02265	FEF31_RS00210
OG0000136	DR086_RS02270	FEF31_RS00215
OG0000137	DR086_RS02310	FEF31_RS00245
OG0000138	DR086_RS02775	FEF31_RS00280
OG0000139	DR086_RS02745	FEF31_RS00310
OG0000140	DR086_RS02740	FEF31_RS00315
OG0000141	DR086_RS03720	FEF31_RS02670
OG0000142	DR086_RS04820	FEF31_RS04555
OG0000143	DR086_RS01115	FEF31_RS02645
OG0000144	DR086_RS01105	FEF31_RS02635
OG0000145	DR086_RS01095	FEF31_RS02625
OG0000146	DR086_RS01085	FEF31_RS02615
OG0000147	DR086_RS01080	FEF31_RS02610
OG0000148	DR086_RS01065	FEF31_RS02595
OG0000149	DR086_RS01055	FEF31_RS02585
OG0000150	DR086_RS01040	FEF31_RS02570
OG0000151	DR086_RS03230	FEF31_RS02525
OG0000152	DR086_RS03225	FEF31_RS02520
OG0000153	DR086_RS03220	FEF31_RS02515
OG0000154	DR086_RS03210	FEF31_RS02505
OG0000155	DR086_RS03005	FEF31_RS02465
OG0000156	DR086_RS02995	FEF31_RS02455
OG0000157	DR086_RS05005	FEF31_RS04545
OG0000158	DR086_RS05000	FEF31_RS04540
OG0000159	DR086_RS05100	FEF31_RS02195
OG0000160	DR086_RS02185	FEF31_RS02190
OG0000161	DR086_RS02190	FEF31_RS02185
OG0000162	DR086_RS02200	FEF31_RS02175
OG0000163	DR086_RS02205	FEF31_RS02170
OG0000164	DR086_RS03305	FEF31_RS01270
OG0000165	DR086_RS00440	FEF31_RS01685
OG0000166	DR086_RS00460	FEF31_RS01705
OG0000167	DR086_RS00475	FEF31_RS01720
OG0000168	DR086_RS00480	FEF31_RS01725
OG0000169	DR086_RS01435	FEF31_RS03615
OG0000170	DR086_RS01420	FEF31_RS04785, FEF31_RS04795
OG0000171	DR086_RS01410	FEF31_RS03640
OG0000172	DR086_RS01405	FEF31_RS03645
OG0000173	DR086_RS01400	FEF31_RS03650
OG0000174	DR086_RS01395	FEF31_RS03655
OG0000175	DR086_RS01380	FEF31_RS03670
OG0000176	DR086_RS01330	FEF31_RS03715
OG0000177	DR086_RS01325	FEF31_RS03720
OG0000178	DR086_RS01320	FEF31_RS03725
OG0000179	DR086_RS01310	FEF31_RS03735
OG0000180	DR086_RS01305	FEF31_RS03740
OG0000181	DR086_RS05065	FEF31_RS04690
OG0000182	DR086_RS03535	FEF31_RS03795
OG0000183	DR086_RS02345	FEF31_RS03830
OG0000184	DR086_RS02390	FEF31_RS02980
OG0000185	DR086_RS02375	FEF31_RS02965
OG0000186	DR086_RS04895	FEF31_RS04435
OG0000187	DR086_RS01790	FEF31_RS01200
OG0000188	DR086_RS01780	FEF31_RS01210
OG0000189	DR086_RS04920	FEF31_RS04520
OG0000190	DR086_RS02035	FEF31_RS02035
OG0000191	DR086_RS02055	FEF31_RS02015
OG0000192	DR086_RS02515	FEF31_RS00875
OG0000193	DR086_RS02500	FEF31_RS00860
OG0000194	DR086_RS03025	FEF31_RS00345
OG0000195	DR086_RS03030	FEF31_RS00350
OG0000196	DR086_RS03050	FEF31_RS00370
OG0000197	DR086_RS03055	FEF31_RS00375
OG0000198	DR086_RS03070	FEF31_RS00390
OG0000199	DR086_RS03075	FEF31_RS00395
OG0000200	DR086_RS03090	FEF31_RS00410
OG0000201	DR086_RS03100	FEF31_RS00420
OG0000202	DR086_RS03345	FEF31_RS00475
