Orthogroup	MHP_MHP679_genes	MFC_MF22_genes
OG0000001	DR086_RS03435, DR086_RS01010, DR086_RS03200, DR086_RS03195	DR094_RS00325, DR094_RS00330
OG0000002	DR086_RS05060	DR094_RS03815
OG0000002	DR086_RS04880	DR094_RS03610
OG0000003	DR086_RS05055	DR094_RS03820
OG0000007	DR086_RS03485	DR094_RS02850
OG0000007	DR086_RS03495	DR094_RS02840
OG0000011	DR086_RS00450	DR094_RS03520
OG0000011	DR086_RS00445	DR094_RS02895
OG0000013	DR086_RS03105	DR094_RS00075, DR094_RS00080
OG0000013	DR086_RS04005	DR094_RS03050
OG0000014	DR086_RS03610, DR086_RS04970	DR094_RS03555
OG0000016	DR086_RS01050	DR094_RS00380
OG0000017	DR086_RS00015	DR094_RS00975
OG0000017	DR086_RS01060	DR094_RS00390
OG0000019	DR086_RS04570	DR094_RS03350
OG0000020	DR086_RS02470	DR094_RS03595
OG0000022	DR086_RS04885	DR094_RS03605
OG0000023	DR086_RS02015, DR086_RS04105	DR094_RS02170
OG0000024	DR086_RS03190	DR094_RS00320
OG0000025	DR086_RS01595	DR094_RS01205
OG0000026	DR086_RS01970, DR086_RS01615	DR094_RS02215
OG0000027	DR086_RS05030	DR094_RS01395
OG0000027	DR086_RS04870	DR094_RS03650
OG0000029	DR086_RS02730	DR094_RS00545
OG0000030	DR086_RS05025, DR086_RS04875	DR094_RS03655
OG0000031	DR086_RS00745	DR094_RS02590
OG0000032	DR086_RS03980, DR086_RS03870	DR094_RS01390
OG0000039	DR086_RS03295	DR094_RS00485
OG0000042	DR086_RS02970	DR094_RS00490, DR094_RS00345
OG0000043	DR086_RS00415	DR094_RS02615
OG0000045	DR086_RS03290	DR094_RS03140, DR094_RS03135
OG0000048	DR086_RS00610	DR094_RS02695, DR094_RS02985
OG0000049	DR086_RS01430	DR094_RS03355
OG0000050	DR086_RS02195	DR094_RS03765
OG0000051	DR086_RS00855	DR094_RS01715
OG0000052	DR086_RS01150	DR094_RS01015
OG0000053	DR086_RS04905	DR094_RS03805
OG0000054	DR086_RS02170	DR094_RS00030
OG0000055	DR086_RS03270	DR094_RS03580, DR094_RS03850
OG0000056	DR086_RS02455	DR094_RS01180
OG0000057	DR086_RS01130	DR094_RS00465
OG0000062	DR086_RS01260	DR094_RS01125
OG0000063	DR086_RS04835	DR094_RS03590
OG0000064	DR086_RS01275	DR094_RS01140
OG0000065	DR086_RS02080	DR094_RS02075
OG0000066	DR086_RS01980	DR094_RS02205
OG0000068	DR086_RS01570	DR094_RS00510
OG0000069	DR086_RS01025	DR094_RS00355
OG0000070	DR086_RS02165	DR094_RS00050
OG0000071	DR086_RS02350	DR094_RS02015
OG0000072	DR086_RS04935	DR094_RS03725
OG0000073	DR086_RS03040	DR094_RS02425
OG0000075	DR086_RS03840	DR094_RS00790
OG0000076	DR086_RS00225	DR094_RS00775
OG0000077	DR086_RS00315	DR094_RS00690
OG0000078	DR086_RS01625	DR094_RS00235
OG0000079	DR086_RS00950	DR094_RS00130
OG0000080	DR086_RS04145	DR094_RS03080
OG0000081	DR086_RS00205	DR094_RS00795
OG0000082	DR086_RS03110	DR094_RS00070
OG0000083	DR086_RS00520	DR094_RS02715
OG0000084	DR086_RS00545	DR094_RS02645
OG0000085	DR086_RS00550	DR094_RS02650
OG0000086	DR086_RS00560	DR094_RS03780
OG0000087	DR086_RS00575	DR094_RS02675
OG0000088	DR086_RS00580	DR094_RS02680
OG0000089	DR086_RS00590	DR094_RS02690
OG0000090	DR086_RS01155	DR094_RS01020
OG0000091	DR086_RS01170	DR094_RS01035
OG0000092	DR086_RS01185	DR094_RS01050
OG0000093	DR086_RS01190	DR094_RS01055
OG0000094	DR086_RS01195	DR094_RS01060
OG0000095	DR086_RS01220	DR094_RS01085
OG0000096	DR086_RS01225	DR094_RS01090
OG0000097	DR086_RS01245	DR094_RS01110
OG0000098	DR086_RS01255	DR094_RS01120
OG0000099	DR086_RS04950	DR094_RS01175
OG0000100	DR086_RS02445	DR094_RS01185
OG0000101	DR086_RS02440	DR094_RS01190
OG0000102	DR086_RS01600	DR094_RS01200
OG0000103	DR086_RS02115	DR094_RS02040
OG0000104	DR086_RS02110	DR094_RS02045
OG0000105	DR086_RS02095	DR094_RS02060
OG0000106	DR086_RS02085	DR094_RS02070
OG0000107	DR086_RS02075	DR094_RS02080
