Orthogroup	MHP_MHP679_genes	MHP_MHP650_genes
OG0000000	DR086_RS04585, DR086_RS03600	DR083_RS04515
OG0000001	DR086_RS03435	DR083_RS04075
OG0000001	DR086_RS01010	DR083_RS00590
OG0000001	DR086_RS03195	DR083_RS00545
OG0000002	DR086_RS04310	DR083_RS04320
OG0000002	DR086_RS05060	DR083_RS04915
OG0000002	DR086_RS04880	DR083_RS04760
OG0000003	DR086_RS00625, DR086_RS03690	DR083_RS04940
OG0000003	DR086_RS05055	DR083_RS04460
OG0000003	DR086_RS05085	DR083_RS03840
OG0000004	DR086_RS03630	DR083_RS03460
OG0000004	DR086_RS03555	DR083_RS03440
OG0000005	DR086_RS03245	DR083_RS03065
OG0000005	DR086_RS03255	DR083_RS03050
OG0000005	DR086_RS05035	DR083_RS04870
OG0000007	DR086_RS03485	DR083_RS03475
OG0000007	DR086_RS03495	DR083_RS03465
OG0000008	DR086_RS02140	DR083_RS04540
OG0000009	DR086_RS04375	DR083_RS01930
OG0000010	DR086_RS00810	DR083_RS02305
OG0000011	DR086_RS00450	DR083_RS01555
OG0000011	DR086_RS00445	DR083_RS01550
OG0000013	DR086_RS03105	DR083_RS05105
OG0000013	DR086_RS04005	DR083_RS03885
OG0000014	DR086_RS04970	DR083_RS04890
OG0000015	DR086_RS03685	DR083_RS02965
OG0000016	DR086_RS01050	DR083_RS00630
OG0000016	DR086_RS00030	DR083_RS00040
OG0000017	DR086_RS00015	DR083_RS00025
OG0000017	DR086_RS01060	DR083_RS00640
OG0000019	DR086_RS04570	DR083_RS04180
OG0000020	DR086_RS02470	DR083_RS04640
OG0000022	DR086_RS01645	DR083_RS02055
OG0000022	DR086_RS04885	DR083_RS04755
OG0000024	DR086_RS03190	DR083_RS03365
OG0000025	DR086_RS04890	DR083_RS04750
OG0000025	DR086_RS01595	DR083_RS02105
OG0000026	DR086_RS01970	DR083_RS01120
OG0000026	DR086_RS01615	DR083_RS02085
OG0000027	DR086_RS05030	DR083_RS02995
OG0000027	DR086_RS04870	DR083_RS04880
OG0000028	DR086_RS03150	DR083_RS00315
OG0000029	DR086_RS02730	DR083_RS02525
OG0000030	DR086_RS05025	DR083_RS04855
OG0000030	DR086_RS04875	DR083_RS04885
OG0000031	DR086_RS03310	DR083_RS03560
