Orthogroup	MHP_MHP679_genes	MFC_Ms42_genes
OG0000001	DR086_RS03435, DR086_RS01010, DR086_RS03200, DR086_RS03195	MYF_RS03415
OG0000002	DR086_RS04310	MYF_RS01530
OG0000002	DR086_RS05060	MYF_RS01475
OG0000002	DR086_RS04880	MYF_RS03010
OG0000003	DR086_RS05055	MYF_RS01515
OG0000007	DR086_RS03485	MYF_RS01510
OG0000007	DR086_RS03495	MYF_RS01500
OG0000008	DR086_RS04265	MYF_RS01875
OG0000011	DR086_RS00450	MYF_RS03310
OG0000011	DR086_RS00445	MYF_RS01270
OG0000013	DR086_RS03105	MYF_RS03170, MYF_RS01100
OG0000013	DR086_RS04005	MYF_RS03400
OG0000014	DR086_RS03610, DR086_RS04970	MYF_RS00550
OG0000015	DR086_RS00690	MYF_RS03470
OG0000016	DR086_RS01050	MYF_RS00730
OG0000017	DR086_RS00015	MYF_RS03155
OG0000017	DR086_RS01060	MYF_RS00720
OG0000019	DR086_RS04570	MYF_RS03445, MYF_RS03450, MYF_RS03440
OG0000020	DR086_RS02470	MYF_RS03085
OG0000022	DR086_RS04885	MYF_RS03025
OG0000024	DR086_RS03190	MYF_RS00790
OG0000025	DR086_RS01595	MYF_RS03030
OG0000026	DR086_RS01970, DR086_RS01615	MYF_RS01715
OG0000027	DR086_RS04870	MYF_RS02825
OG0000029	DR086_RS02730	MYF_RS00555
OG0000030	DR086_RS05025, DR086_RS04875	MYF_RS02820
OG0000031	DR086_RS00745	MYF_RS01215
OG0000032	DR086_RS03980	MYF_RS03490
OG0000032	DR086_RS03870	MYF_RS02815
OG0000037	DR086_RS04510	MYF_RS03495
OG0000037	DR086_RS03325	MYF_RS03005
OG0000039	DR086_RS03295	MYF_RS03160, MYF_RS00615
OG0000042	DR086_RS02970	MYF_RS00610, MYF_RS00765
OG0000043	DR086_RS00415	MYF_RS01240
OG0000045	DR086_RS03290	MYF_RS00630
OG0000047	DR086_RS00730	MYF_RS03335
OG0000048	DR086_RS00610	MYF_RS01350
OG0000049	DR086_RS01430	MYF_RS03265, MYF_RS03455
OG0000050	DR086_RS02195	MYF_RS01180
OG0000051	DR086_RS00855	MYF_RS02420
OG0000052	DR086_RS01150	MYF_RS00075
OG0000053	DR086_RS04905	MYF_RS01800
OG0000054	DR086_RS02170	MYF_RS01155
OG0000055	DR086_RS03270	MYF_RS03395, MYF_RS03525
OG0000056	DR086_RS02455	MYF_RS03060
OG0000057	DR086_RS01130	MYF_RS00645
OG0000062	DR086_RS01260	MYF_RS03115
OG0000063	DR086_RS04835	MYF_RS03110
OG0000064	DR086_RS01275	MYF_RS03100
OG0000065	DR086_RS02080	MYF_RS01575
OG0000066	DR086_RS01980	MYF_RS01705
OG0000068	DR086_RS01570	MYF_RS00590
OG0000069	DR086_RS01025	MYF_RS00755
OG0000070	DR086_RS02165	MYF_RS01135
OG0000071	DR086_RS02350	MYF_RS02760
OG0000072	DR086_RS04935	MYF_RS02765
OG0000073	DR086_RS03040	MYF_RS02005
OG0000075	DR086_RS03840	MYF_RS00305
OG0000076	DR086_RS00225	MYF_RS00320
OG0000077	DR086_RS00315	MYF_RS00410
OG0000078	DR086_RS01625	MYF_RS00880
OG0000079	DR086_RS00950	MYF_RS01050
OG0000080	DR086_RS04145	MYF_RS01000, MYF_RS03365
OG0000081	DR086_RS00205	MYF_RS00300
OG0000082	DR086_RS03110	MYF_RS01110
OG0000083	DR086_RS00520	MYF_RS01430
OG0000084	DR086_RS00545	MYF_RS01400
OG0000085	DR086_RS00550	MYF_RS01395
OG0000086	DR086_RS00560	MYF_RS01385
OG0000087	DR086_RS00575	MYF_RS01370
OG0000088	DR086_RS00580	MYF_RS01365
OG0000089	DR086_RS00590	MYF_RS01355
OG0000090	DR086_RS01155	MYF_RS00070
OG0000091	DR086_RS01170	MYF_RS00055
OG0000092	DR086_RS01185	MYF_RS00040
OG0000093	DR086_RS01190	MYF_RS00035
OG0000094	DR086_RS01195	MYF_RS00030
OG0000095	DR086_RS01220	MYF_RS00005
OG0000096	DR086_RS01225	MYF_RS03150
OG0000097	DR086_RS01245	MYF_RS03130
OG0000098	DR086_RS01255	MYF_RS03120
OG0000099	DR086_RS04950	MYF_RS03065
OG0000100	DR086_RS02445	MYF_RS03050
OG0000101	DR086_RS02440	MYF_RS03045
OG0000102	DR086_RS01600	MYF_RS03035
OG0000103	DR086_RS02115	MYF_RS01540
OG0000104	DR086_RS02110	MYF_RS01545
OG0000105	DR086_RS02095	MYF_RS01560
OG0000106	DR086_RS02085	MYF_RS01570
OG0000107	DR086_RS02075	MYF_RS01580
OG0000108	DR086_RS02070	MYF_RS01585
OG0000109	DR086_RS02065	MYF_RS01590
OG0000110	DR086_RS03120	MYF_RS01595
OG0000111	DR086_RS03125	MYF_RS01600
OG0000112	DR086_RS03135	MYF_RS01610
OG0000113	DR086_RS05050	MYF_RS01625
OG0000114	DR086_RS03455	MYF_RS01635
OG0000115	DR086_RS03475	MYF_RS01645
OG0000116	DR086_RS03410	MYF_RS01655
OG0000117	DR086_RS03405	MYF_RS01660
OG0000118	DR086_RS01995	MYF_RS01690
OG0000119	DR086_RS01990	MYF_RS01695
OG0000120	DR086_RS01975	MYF_RS01710
OG0000121	DR086_RS01950	MYF_RS01735
OG0000122	DR086_RS01945	MYF_RS01740
OG0000123	DR086_RS01925	MYF_RS01760
OG0000124	DR086_RS01920	MYF_RS01765
OG0000125	DR086_RS01915	MYF_RS01770
OG0000126	DR086_RS01900	MYF_RS01780
OG0000127	DR086_RS01890	MYF_RS01790
OG0000128	DR086_RS01875	MYF_RS01805
OG0000129	DR086_RS01870	MYF_RS01810
OG0000130	DR086_RS01860	MYF_RS01820
OG0000131	DR086_RS01830	MYF_RS01850
OG0000132	DR086_RS04900	MYF_RS01865
OG0000133	DR086_RS02245	MYF_RS00485
OG0000134	DR086_RS02250	MYF_RS00490
OG0000135	DR086_RS02265	MYF_RS00505
OG0000136	DR086_RS02270	MYF_RS00510
OG0000137	DR086_RS02310	MYF_RS00540
OG0000138	DR086_RS02775	MYF_RS00565
OG0000139	DR086_RS02745	MYF_RS00595
OG0000140	DR086_RS02740	MYF_RS00600
OG0000141	DR086_RS03720	MYF_RS00635
OG0000142	DR086_RS04820	MYF_RS00640
OG0000143	DR086_RS01115	MYF_RS00665
OG0000144	DR086_RS01105	MYF_RS00675
OG0000145	DR086_RS01095	MYF_RS00685
OG0000146	DR086_RS01085	MYF_RS00695
OG0000147	DR086_RS01080	MYF_RS00700
OG0000148	DR086_RS01065	MYF_RS00715
OG0000149	DR086_RS01055	MYF_RS00725
OG0000150	DR086_RS01040	MYF_RS00740
OG0000151	DR086_RS03230	MYF_RS00795
OG0000152	DR086_RS03225	MYF_RS00800
OG0000153	DR086_RS03220	MYF_RS00805
OG0000154	DR086_RS03210	MYF_RS00815
OG0000155	DR086_RS03005	MYF_RS00835
OG0000156	DR086_RS02995	MYF_RS00855
OG0000157	DR086_RS05005	MYF_RS00860
OG0000158	DR086_RS05000	MYF_RS00870
OG0000159	DR086_RS05100	MYF_RS01165
OG0000160	DR086_RS02185	MYF_RS01170
OG0000161	DR086_RS02190	MYF_RS01175
OG0000162	DR086_RS02200	MYF_RS01185
OG0000163	DR086_RS02205	MYF_RS01190
OG0000164	DR086_RS03305	MYF_RS01220
OG0000165	DR086_RS00440	MYF_RS01265
OG0000166	DR086_RS00460	MYF_RS01285
OG0000167	DR086_RS00475	MYF_RS01300
OG0000168	DR086_RS00480	MYF_RS01305
OG0000169	DR086_RS01435	MYF_RS02560
OG0000170	DR086_RS01420	MYF_RS02585
OG0000171	DR086_RS01410	MYF_RS02595
OG0000172	DR086_RS01405	MYF_RS02600
