#                                                                                 --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name             accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#     ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
scf00000000:18612-20408|- -            599 501at2085            -            526  8.9e-249  821.9   9.1   1   1  1.2e-250  1.8e-248  820.9   9.1     1   526     1   594     1   594 0.93 scf00000000_16 # 18612 # 20408 # -1 # ID=1_16;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.342
scf00000000:15185-17278|+ -            698 501at2085            -            526   5.5e-45  149.4   1.6   1   4   1.8e-36   2.6e-34  114.2   0.1     4   153     8   162     5   186 0.86 scf00000000_14 # 15185 # 17278 # 1 # ID=1_14;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.376
scf00000000:15185-17278|+ -            698 501at2085            -            526   5.5e-45  149.4   1.6   2   4      0.57        84   -3.0   0.0   155   173   263   281   256   290 0.80 scf00000000_14 # 15185 # 17278 # 1 # ID=1_14;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.376
scf00000000:15185-17278|+ -            698 501at2085            -            526   5.5e-45  149.4   1.6   3   4     4e-10   5.9e-08   27.2   0.1   171   339   302   488   291   501 0.65 scf00000000_14 # 15185 # 17278 # 1 # ID=1_14;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.376
scf00000000:15185-17278|+ -            698 501at2085            -            526   5.5e-45  149.4   1.6   4   4    0.0028      0.42    4.6   0.0   350   411   610   678   598   694 0.78 scf00000000_14 # 15185 # 17278 # 1 # ID=1_14;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.376
scf00000001:15757-17556|+ -            600 501at2085            -            526   2.6e-19   64.7   2.9   1   3   1.7e-21   2.6e-19   64.7   2.9    10   196   117   308   115   321 0.77 scf00000001_15 # 15757 # 17556 # 1 # ID=2_15;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.351
scf00000001:15757-17556|+ -            600 501at2085            -            526   2.6e-19   64.7   2.9   2   3      0.56        83   -3.0   0.6   135   181   388   434   377   452 0.72 scf00000001_15 # 15757 # 17556 # 1 # ID=2_15;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.351
scf00000001:15757-17556|+ -            600 501at2085            -            526   2.6e-19   64.7   2.9   3   3      0.34        50   -2.2   0.0   382   408   480   506   460   516 0.80 scf00000001_15 # 15757 # 17556 # 1 # ID=2_15;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.351
seq00000006:31311-32519|+ -            403 501at2085            -            526   2.1e-18   61.7   2.9   1   2   3.7e-20   5.5e-18   60.3   0.2     8   140    20   155    14   168 0.88 seq00000006_24 # 31311 # 32519 # 1 # ID=7_24;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.405
seq00000006:31311-32519|+ -            403 501at2085            -            526   2.1e-18   61.7   2.9   2   2     0.023       3.4    1.6   0.2   161   256   205   309   194   325 0.67 seq00000006_24 # 31311 # 32519 # 1 # ID=7_24;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.405
scf00000000:20966-22267|- -            434 501at2085            -            526   1.2e-12   42.8   0.3   1   2   3.4e-05     0.005   11.0   0.1    62   180    45   170    35   173 0.76 scf00000000_19 # 20966 # 22267 # -1 # ID=1_19;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.293
