#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_CP022714.1:439452-440090|- -            213 3895at2085           -            150   1.1e-48  160.6   4.5   1   1   2.4e-47   4.4e-45  148.9   4.5     1   149     6   189     6   190 0.82 NZ_CP022714.1_417 # 439452 # 440090 # -1 # ID=1_417;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=11-12bp;gc_cont=0.291
NZ_CP022714.1:283625-284314|+ -            230 3895at2085           -            150   1.2e-06   24.2   1.8   1   3     1e-07   1.9e-05   20.3   0.0     4    37    10    43     7    63 0.84 NZ_CP022714.1_260 # 283625 # 284314 # 1 # ID=1_260;partial=00;start_type=ATG;rbs_motif=4Base/6BMM;rbs_spacer=13-15bp;gc_cont=0.303
NZ_CP022714.1:283625-284314|+ -            230 3895at2085           -            150   1.2e-06   24.2   1.8   2   3     0.058        11    1.6   0.1    60    85   108   133    83   143 0.84 NZ_CP022714.1_260 # 283625 # 284314 # 1 # ID=1_260;partial=00;start_type=ATG;rbs_motif=4Base/6BMM;rbs_spacer=13-15bp;gc_cont=0.303
NZ_CP022714.1:283625-284314|+ -            230 3895at2085           -            150   1.2e-06   24.2   1.8   3   3      0.21        37   -0.2   0.1    45    94   170   216   154   226 0.55 NZ_CP022714.1_260 # 283625 # 284314 # 1 # ID=1_260;partial=00;start_type=ATG;rbs_motif=4Base/6BMM;rbs_spacer=13-15bp;gc_cont=0.303
NZ_CP022714.1:423654-424235|- -            194 3895at2085           -            150    0.0012   14.4   0.2   1   2   6.8e-06    0.0012   14.4   0.2     2    36     5    40     3   100 0.79 NZ_CP022714.1_393 # 423654 # 424235 # -1 # ID=1_393;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.268
NZ_CP022714.1:423654-424235|- -            194 3895at2085           -            150    0.0012   14.4   0.2   2   2      0.16        28    0.2   0.5    37    72   146   181   131   192 0.57 NZ_CP022714.1_393 # 423654 # 424235 # -1 # ID=1_393;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.268
NZ_CP022714.1:749369-750325|+ -            319 3895at2085           -            150    0.0025   13.4   0.0   1   1   3.9e-05     0.007   11.9   0.0     2    24    42    64    41   120 0.80 NZ_CP022714.1_725 # 749369 # 750325 # 1 # ID=1_725;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.315
NZ_CP022714.1:911762-912889|- -            376 3895at2085           -            150    0.0055   12.3   1.4   1   3      0.54        97   -1.5   0.0    43    72    41    70    33    74 0.77 NZ_CP022714.1_859 # 911762 # 912889 # -1 # ID=1_859;partial=00;start_type=ATG;rbs_motif=4Base/6BMM;rbs_spacer=13-15bp;gc_cont=0.350
NZ_CP022714.1:911762-912889|- -            376 3895at2085           -            150    0.0055   12.3   1.4   2   3   0.00011      0.02   10.5   0.0     2    33   112   145   111   158 0.83 NZ_CP022714.1_859 # 911762 # 912889 # -1 # ID=1_859;partial=00;start_type=ATG;rbs_motif=4Base/6BMM;rbs_spacer=13-15bp;gc_cont=0.350
NZ_CP022714.1:911762-912889|- -            376 3895at2085           -            150    0.0055   12.3   1.4   3   3      0.41        73   -1.1   0.0    57    79   308   332   296   344 0.66 NZ_CP022714.1_859 # 911762 # 912889 # -1 # ID=1_859;partial=00;start_type=ATG;rbs_motif=4Base/6BMM;rbs_spacer=13-15bp;gc_cont=0.350
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/KM014/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/3895at2085.hmm
# Target file:     /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/KM014/Use/busco_complete/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/KM014/Use/busco_complete/run_mycoplasmatales_odb10/hmmer_output/3895at2085.out --cpu 1 /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/KM014/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/3895at2085.hmm /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/KM014/Use/busco_complete/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/KM014/Use
# Date:            Sun Dec  1 19:28:58 2024
# [ok]
