Orthogroup	MHP_TB1_proteins	MHP_MHP709_proteins
OG0000000	WP_252862191.1	WP_258555378.1
OG0000000	WP_088764599.1	WP_160588195.1
OG0000000	WP_252862164.1	WP_334199370.1
OG0000001	WP_228365393.1	WP_258555241.1
OG0000001	WP_014579925.1	WP_258555237.1
OG0000002	WP_228365382.1	WP_258555377.1
OG0000002	WP_158209055.1	WP_160588366.1
OG0000002	WP_014579753.1	WP_160588193.1
OG0000003	WP_252862215.1	WP_160587869.1
OG0000003	WP_052293597.1	WP_052293597.1
OG0000004	WP_252862151.1	WP_020835887.1
OG0000005	WP_014579527.1	WP_160588124.1
OG0000005	WP_014579529.1	WP_160588374.1
OG0000005	WP_252862119.1, WP_228365401.1	WP_160588334.1, WP_160588338.1
OG0000006	WP_044278023.1	WP_225972988.1
OG0000006	WP_252862187.1	WP_258555362.1
OG0000008	WP_252862201.1	WP_258555379.1
OG0000008	WP_252862214.1	WP_308507071.1
OG0000009	WP_016340194.1	WP_011290021.1
OG0000010	WP_014579794.1	WP_160587884.1
OG0000010	WP_228365400.1	WP_160588372.1, WP_160588382.1
OG0000011	WP_088764586.1	WP_160587900.1
OG0000011	WP_014579809.1	WP_160587898.1
OG0000013	WP_252862184.1	WP_258555342.1
OG0000013	WP_252862122.1	WP_308507056.1
OG0000014	WP_088764623.1	WP_160587971.1
OG0000014	WP_252862202.1	WP_160587966.1
OG0000016	WP_014579937.1	WP_160587852.1
OG0000016	WP_252862121.1, WP_290124223.1	WP_160588042.1
OG0000017	WP_011205870.1	WP_020835500.1
OG0000017	WP_014579938.1	WP_020835837.1
OG0000018	WP_014579688.1, WP_052293599.1, WP_011206365.1, WP_252862144.1	WP_160588235.1
OG0000020	WP_014580041.1	WP_160588169.1
OG0000020	WP_187286313.1	WP_220191087.1
OG0000021	WP_088764585.1, WP_308506976.1	WP_044284635.1
OG0000022	WP_044277993.1	WP_160588207.1
OG0000022	WP_014579755.1	WP_160588197.1
OG0000023	WP_014579716.1, WP_228365414.1	WP_160588233.1
OG0000024	WP_014579922.1	WP_160585259.1
OG0000024	WP_044277983.1, WP_014579707.1	WP_160588003.1
OG0000025	WP_011284074.1	WP_160588205.1
OG0000025	WP_143826161.1	WP_160588199.1
OG0000026	WP_044284614.1	WP_192894288.1
OG0000026	WP_014579760.1	WP_160588201.1
OG0000027	WP_011206475.1	WP_020835902.1
OG0000027	WP_014580004.1	WP_160588189.1
OG0000029	WP_088764612.1	WP_160588071.1
OG0000029	WP_252862204.1, WP_252862203.1	WP_160587963.1
OG0000030	WP_016340249.1	WP_160588148.1
OG0000030	WP_014580003.1	WP_020835904.1
OG0000031	WP_252862171.1, WP_011284063.1	WP_011290137.1
OG0000032	WP_252862131.1	WP_308507099.1
OG0000033	WP_252862173.1, WP_252862174.1	WP_160588215.1
OG0000035	WP_014579983.1	WP_160588344.1
OG0000035	WP_014579981.1	WP_160588066.1
OG0000036	WP_252862120.1	WP_020835495.1, WP_258555369.1, WP_258555370.1
