Orthogroup	MHP_MHP694_proteins	MHP_MHP682_proteins
OG0000000	WP_160606961.1	WP_371807681.1
OG0000000	WP_160606967.1	WP_160585837.1
OG0000000	WP_160606939.1	WP_160585691.1
OG0000001	WP_258555423.1	WP_258555825.1
OG0000002	WP_258555377.1	WP_258555846.1
OG0000002	WP_160606941.1	WP_160585690.1
OG0000003	WP_160606452.1	WP_220191211.1
OG0000004	WP_160606858.1	WP_160585635.1
OG0000005	WP_160606895.1	WP_160585749.1
OG0000005	WP_160606893.1	WP_146379450.1
OG0000005	WP_160606889.1	WP_160585747.1
OG0000006	WP_160606807.1	WP_258555864.1
OG0000008	WP_308704614.1	WP_308507018.1
OG0000009	WP_160606899.1	WP_146379448.1
OG0000009	WP_011290021.1	WP_160585618.1
OG0000010	WP_160606459.1	WP_160585752.1
OG0000010	WP_240536640.1	WP_308506993.1
OG0000010	WP_258555438.1	WP_240536641.1
OG0000010	WP_160606891.1, WP_258555487.1	WP_160585748.1
OG0000011	WP_160606477.1	WP_160585600.1
OG0000011	WP_020835713.1	WP_160585601.1
OG0000013	WP_258555454.1	WP_258555342.1
OG0000013	WP_308704588.1	WP_371807677.1
OG0000016	WP_160606577.1	WP_160585619.1
OG0000016	WP_160606535.1	WP_160585547.1
OG0000017	WP_020835500.1	WP_020835500.1
OG0000017	WP_020835837.1	WP_011206380.1
OG0000019	WP_160606929.1	WP_258555870.1
OG0000020	WP_160606921.1	WP_160585812.1
OG0000020	WP_258555399.1, WP_258555494.1	WP_308507016.1
OG0000021	WP_160606951.1	WP_044284635.1
OG0000022	WP_160606786.1	WP_160585696.1
OG0000022	WP_160606773.1	WP_160585692.1
OG0000023	WP_160606556.1	WP_160585681.1, WP_160585708.1
OG0000024	WP_258555387.1	WP_160585687.1
OG0000024	WP_160606548.1	WP_160585557.1
OG0000025	WP_160606784.1	WP_146379576.1
OG0000025	WP_160606775.1	WP_160585693.1
OG0000026	WP_020835640.1	WP_044284614.1
OG0000026	WP_160606777.1	WP_160585054.1
OG0000027	WP_160606791.1	WP_160585251.1
OG0000027	WP_160606741.1	WP_160585589.1
OG0000029	WP_160606678.1	WP_160585736.1
OG0000030	WP_308704613.1	WP_308507013.1
OG0000030	WP_020835904.1	WP_160584917.1
OG0000031	WP_011206142.1	WP_011284063.1
OG0000032	WP_308704608.1	WP_308507003.1
OG0000033	WP_308704605.1	WP_160585780.1
OG0000036	WP_258555486.1	WP_020835495.1, WP_160585743.1
OG0000039	WP_160606617.1	WP_160585321.1
OG0000040	WP_160606805.1	WP_160585830.1
OG0000043	WP_014579804.1	WP_014579804.1
OG0000044	WP_225973034.1	WP_225973034.1
