Orthogroup	MHP_MHP679_protein	MHP_11_protein
OG0000000	WP_160590309.1	WP_044284797.1
OG0000000	WP_160590024.1	WP_011206202.1
OG0000001	WP_160590541.1	WP_044284791.1
OG0000002	WP_308704697.1	WP_241499457.1
OG0000002	WP_258555710.1	WP_011206279.1
OG0000003	WP_258555731.1	WP_088172539.1
OG0000003	WP_160590228.1	WP_088172555.1
OG0000004	WP_160590314.1	WP_241499463.1
OG0000005	WP_308704714.1	WP_129640575.1
OG0000006	WP_160590409.1	WP_011206109.1
OG0000006	WP_160590533.1	WP_088172531.1
OG0000008	WP_160590525.1, WP_160590535.1	WP_011206450.1, WP_088172517.1, WP_088172515.1
OG0000009	WP_160590450.1	WP_088172546.1
OG0000010	WP_258555714.1	WP_011206342.1
OG0000010	WP_020835629.1	WP_232039579.1
OG0000013	WP_258555632.1	WP_232039545.1
OG0000013	WP_258555696.1	WP_088172547.1
OG0000014	WP_258555715.1	WP_232039548.1
OG0000015	WP_258555720.1	WP_044284786.1
OG0000018	WP_160590420.1	WP_044284805.1
OG0000019	WP_160590475.1	WP_011205862.1, WP_088172524.1
OG0000020	WP_160590177.1	WP_011205920.1
OG0000021	WP_160590089.1	WP_044284803.1, WP_088172559.1
OG0000022	WP_258555711.1	WP_232039541.1
OG0000023	WP_160590346.1	WP_011206462.1
OG0000025	WP_258555619.1	WP_011206147.1
OG0000026	WP_160590319.1	WP_011206286.1
OG0000027	WP_160590529.1	WP_241499456.1
OG0000028	WP_160590103.1	WP_011206173.1
OG0000029	WP_160590481.1	WP_241499465.1
OG0000030	WP_160590119.1	WP_011206324.1
OG0000031	WP_014579531.1	WP_011205867.1
OG0000033	WP_225973034.1	WP_088172558.1, WP_011206179.1
OG0000034	WP_011206291.1	WP_011206291.1
OG0000035	WP_160590237.1	WP_088172554.1
OG0000036	WP_160590316.1	WP_011206290.1
OG0000037	WP_160581239.1	WP_241499458.1, WP_011206364.1
OG0000039	WP_011206214.1	WP_011206214.1
OG0000040	WP_160590049.1	WP_011206223.1
OG0000041	WP_258555701.1	WP_011206517.1
OG0000042	WP_160590366.1	WP_011206514.1
OG0000043	WP_011290432.1	WP_011206511.1
OG0000044	WP_160585690.1	WP_011206167.1
OG0000045	WP_011290219.1	WP_011206245.1
OG0000046	WP_258555735.1, WP_160587949.1	WP_011206103.1
OG0000047	WP_258555674.1	WP_173670097.1
OG0000048	WP_160585682.1	WP_011206374.1
OG0000049	WP_011206373.1	WP_011206373.1
OG0000050	WP_011206292.1	WP_011206292.1
OG0000051	WP_135619210.1	WP_081430781.1
OG0000052	WP_160590321.1	WP_011206284.1
OG0000053	WP_160585654.1	WP_002557698.1
OG0000054	WP_160585651.1	WP_011206420.1
OG0000055	WP_160590193.1	WP_011206429.1
OG0000056	WP_160585219.1	WP_011206460.1
OG0000057	WP_011290028.1	WP_011206089.1
OG0000058	WP_160590415.1	WP_011206059.1
OG0000059	WP_308704709.1	WP_011206057.1
OG0000060	WP_011290055.1	WP_011206046.1
OG0000061	WP_011206035.1	WP_011206035.1
OG0000062	WP_146379532.1	WP_011206012.1
OG0000063	WP_160585552.1	WP_011205871.1
OG0000064	WP_160589978.1	WP_011205872.1
OG0000065	WP_160590545.1, WP_135618517.1	WP_011205908.1
OG0000066	WP_160590009.1	WP_011206132.1
OG0000067	WP_011206493.1	WP_011206493.1
OG0000068	WP_258555679.1	WP_044284849.1
OG0000069	WP_020835790.1	WP_011206296.1
OG0000070	WP_020835797.1	WP_011206305.1
OG0000071	WP_160590147.1	WP_011206354.1
OG0000072	WP_160590454.1	WP_011206471.1
OG0000073	WP_179695988.1	WP_011206314.1
OG0000074	WP_020835847.1	WP_232039550.1
OG0000076	WP_308704713.1	WP_241499460.1
OG0000077	WP_160590000.1	WP_044284770.1
OG0000078	WP_308704702.1	WP_011206477.1
OG0000079	WP_220200751.1	WP_220200502.1
OG0000080	WP_160590040.1	WP_011206215.1
OG0000081	WP_160590043.1	WP_011206216.1
OG0000082	WP_160590046.1	WP_011206219.1
OG0000083	WP_011206221.1	WP_011206221.1
OG0000084	WP_011284142.1	WP_011206222.1
OG0000085	WP_146379594.1	WP_011206224.1
OG0000086	WP_160590052.1	WP_011206225.1
OG0000087	WP_220200603.1	WP_044284794.1
OG0000088	WP_020835732.1	WP_011206228.1
OG0000089	WP_160590058.1	WP_011206229.1
OG0000090	WP_011206231.1	WP_011206231.1
OG0000091	WP_160590168.1	WP_011205854.1
OG0000092	WP_094521535.1	WP_011205853.1
